feasibleBellman,lengthBellman,timeBellman,solvingTimeBellman,feasibleDijkstra,lengthDijkstra,timeDijkstra,solvingTimeDijkstra,feasibleAStar,lengthAStar,timeAStar,solvingTimeAStar,mode
1,8094.8438,969.7140106315611,458,1,8094.8438,969.7140106315611,16,1,8094.8438,969.7140106315611,4,0
1,8835.866,498.18630776541573,664,1,8835.866,498.18630776541573,5,1,8835.866,498.18630776541573,0,0
1,8854.054,1358.7466119319367,381,1,8854.054,1358.7466119319367,12,1,8854.054,1358.7466119319367,2,0
1,4699.1143,1228.5346980179374,316,1,4699.1143,1228.5346980179374,3,1,4699.1143,1228.5346980179374,1,0
1,3666.8594,356.5419721183777,434,1,3666.8594,356.5419721183777,2,1,3666.8594,356.5419721183777,0,0
1,12388.074,1335.3829256106787,463,1,12388.074,1335.3829256106787,12,1,12388.074,1335.3829256106787,9,0
1,9048.972,1888.2920108650733,467,1,9048.972,1888.2920108650733,10,1,9048.972,1888.2920108650733,5,0
0,-1,-1,351,0,-1,-1,14,0,-1,-1,27,0
1,6334.737,516.1936107883454,386,1,6334.737,516.1936107883454,9,1,6334.737,516.1936107883454,3,0
1,4104.929,547.1164834671022,397,1,4104.929,547.1164834671022,2,1,4104.929,547.1164834671022,0,0
1,6304.7163,1036.2132527303695,331,1,6304.7163,1036.2132527303695,12,1,6304.7163,1036.2132527303695,1,0
1,4980.826,2294.62107745743,468,1,4980.826,2294.62107745743,7,1,4980.826,2294.62107745743,1,0
1,7532.022,916.3862034003389,387,1,7532.022,916.3862034003389,11,1,7532.022,916.3862034003389,4,0
1,6236.507,669.2042804976877,473,1,6236.507,669.2042804976877,7,1,6236.507,669.2042804976877,2,0
1,6444.38,1264.7218398121415,518,1,6444.38,1264.7218398121415,9,1,6444.38,1264.7218398121415,3,0
1,9748.514,1394.2594547677702,476,1,9748.514,1394.2594547677702,14,1,9748.514,1394.2594547677702,2,0
1,9658.8955,961.5912444620133,409,1,9658.8955,961.5912444620133,12,1,9658.8955,961.5912444620133,8,0
1,7419.934,1470.3305918083192,796,1,7419.934,1470.3305918083192,6,1,7419.934,1470.3305918083192,3,0
1,8023.5073,1676.869281434195,533,1,8023.5073,1676.869281434195,14,1,8023.5073,1676.869281434195,4,0
1,6910.243,1140.5203991374974,546,1,6910.243,1140.5203991374974,11,1,6910.243,1140.5203991374974,2,0
1,9199.349,1461.117580990792,418,1,9199.349,1461.117580990792,6,1,9199.349,1461.117580990792,2,0
1,12758.26,1255.1492944904055,545,1,12758.26,1255.1492944904055,14,1,12758.26,1255.1492944904055,8,0
1,13821.969,1464.791596034595,548,1,13821.969,1464.791596034595,14,1,13821.969,1464.791596034595,15,0
1,7277.906,678.7576009977889,400,1,7277.906,678.7576009977889,9,1,7277.906,678.7576009977889,4,0
1,1361.2583,134.8273796294076,417,1,1361.2583,134.8273796294076,0,1,1361.2583,134.8273796294076,0,0
1,1395.2457,218.3924729919434,449,1,1395.2457,218.3924729919434,0,1,1395.2457,218.3924729919434,0,0
1,13461.096,1534.2428857460015,583,1,13461.096,1534.2428857460015,15,1,13461.096,1534.2428857460015,5,0
1,9770.379,969.3057232445312,385,1,9770.379,969.3057232445312,10,1,9770.379,969.3057232445312,6,0
1,5740.9263,806.9112732463561,430,1,5740.9263,806.9112732463561,4,1,5740.9263,806.9112732463561,2,0
1,7365.1274,982.1623254825046,553,1,7365.1274,982.1623254825046,4,1,7365.1274,982.1623254825046,2,0
