feasibleDijkstra,lengthDijkstra,timeDijkstra,solvingTimeDijkstra,feasibleAStar,lengthAStar,timeAStar,solvingTimeAStar,mode
1,6718.637,535.5102672615054,3,1,6718.637,535.5102672615054,1,0
1,4180.97,733.1485047356742,6,1,4180.97,733.1485047356742,1,0
1,10334.177,1957.4514152379697,19,1,10334.177,1957.4514152379697,10,0
1,11043.884,635.4396888048987,13,1,11043.884,635.4396888048987,1,0
1,10353.653,1167.7399670456468,19,1,10353.653,1167.7399670456468,3,0
1,9820.301,2107.397075192313,18,1,9820.301,2107.397075192313,8,0
1,5960.05,1228.6824052333827,9,1,5960.05,1228.6824052333827,3,0
1,5029.166,666.399202489853,11,1,5029.166,666.399202489853,1,0
1,7052.7686,2493.844770340919,10,1,7052.7686,2493.844770340919,4,0
1,1582.8619,160.53171852493287,0,1,1582.8619,160.53171852493287,0,0
1,5080.369,778.7857082118986,10,1,5080.369,778.7857082118986,1,0
1,2629.8052,313.47521417999263,1,1,2629.8052,313.47521417999263,0,0
1,2189.2834,248.40773833710807,1,1,2189.2834,248.40773833710807,0,0
1,2797.1968,320.8625922795705,2,1,2797.1968,320.8625922795705,1,0
1,4693.5537,840.0748435134885,5,1,4693.5537,840.0748435134885,1,0
1,10669.063,1183.8626230562754,13,1,10669.063,1183.8626230562754,5,0
0,-1,-1,0,0,-1,-1,0,0
1,1501.5363,304.8039274520874,1,1,1501.5363,304.8039274520874,0,0
1,1948.4373,423.29911787509906,0,1,1948.4373,423.29911787509906,0,0
1,12845.938,1597.6447439347664,13,1,12845.938,1597.6447439347664,10,0
1,6278.2954,1011.3394092607496,8,1,6278.2954,1011.3394092607496,3,0
1,5713.027,943.1362398498059,12,1,5713.027,943.1362398498059,3,0
1,8294.564,1239.8599154090884,9,1,8294.564,1239.8599154090884,4,0
1,8597.85,930.7523217124939,16,1,8597.85,930.7523217124939,6,0
1,6288.523,1531.9658206043237,4,1,6288.523,1531.9658206043237,0,0
1,10986.268,957.2292954085218,11,1,10986.268,957.2292954085218,5,0
