map,totalNodes,feasibleDijkstra,lengthDijkstra,timeDijkstra,solvingTimeDijkstra,feasibleAStar,lengthAStar,timeAStar,solvingTimeAStar,mode,arcs,valid
carre,25,1,89056.0,6412.032,1565869,1,89056.0,6412.032,238712,0,4,1
carre,25,1,107492.195,7739.437921875,494727,1,107492.195,7739.437921875,325813,0,4,1
carre,25,1,66792.0,4809.024,195529,1,66792.0,4809.024,134268,0,3,1
carre,25,1,22264.0,1603.008,51041,1,22264.0,1603.008,53924,0,1,1
carre,25,1,85235.0,6136.92,340158,1,85235.0,6136.92,177111,0,3,1
carre,25,1,62971.0,4533.912,540696,1,62971.0,4533.912,206877,0,2,1
carre,25,1,125942.0,9067.824,365633,1,125942.0,9067.824,159241,0,4,1
carre,25,1,53750.0,3870.0,141471,1,53750.0,3870.0,76453,0,2,1
carre,25,1,76013.0,5472.936,257337,1,76013.0,5472.936,99692,0,3,1
carre,25,1,76013.0,5472.936,263697,1,76013.0,5472.936,105797,0,3,1
carre,25,1,98277.0,7075.9439999999995,237609,1,98277.0,7075.9439999999995,60116,0,4,1
carre,25,1,98277.0,7075.9439999999995,230288,1,98277.0,7075.9439999999995,133740,0,4,1
carre,25,1,22264.0,1603.008,46624,1,22264.0,1603.008,35272,0,1,1
carre,25,1,53746.156,3869.723109375,150198,1,53746.156,3869.723109375,55118,0,2,1
carre,25,1,98277.0,7075.9439999999995,207367,1,98277.0,7075.9439999999995,98543,0,4,1
carre,25,1,31486.0,2266.992,40593,1,31486.0,2266.992,32204,0,1,1
carre,25,1,76013.0,5472.936,143094,1,76013.0,5472.936,88381,0,3,1
carre,25,1,44528.0,3206.016,124897,1,44528.0,3206.016,65085,0,2,1
carre,25,1,76013.0,5472.936,301253,1,76013.0,5472.936,153275,0,3,1
carre,25,1,53749.0,3869.928,114854,1,53749.0,3869.928,36636,0,2,1
carre,25,1,31486.0,2266.992,52938,1,31486.0,2266.992,33765,0,1,1
carre,25,1,53750.0,3870.0,81285,1,53750.0,3870.0,63034,0,2,1
carre,25,1,107498.055,7739.860078125,295967,1,107498.055,7739.860078125,135569,0,4,1
carre,25,1,53749.0,3869.928,194844,1,53749.0,3869.928,43591,0,2,1
carre,25,1,85231.04,6136.634671875,180827,1,85231.04,6136.634671875,62392,0,3,1
carre,25,1,98271.59,7075.554890625001,283484,1,98271.59,7075.554890625001,101433,0,4,1
carre,25,1,22261.156,1602.80325,21165,1,22261.156,1602.80325,21987,0,1,1
carre,25,1,98277.0,7075.9439999999995,88204,1,98277.0,7075.9439999999995,37689,0,4,1
carre,25,1,89048.84,6411.516328125001,241806,1,89048.84,6411.516328125001,109176,0,4,1
carre,25,1,31485.0,2266.92,41298,1,31485.0,2266.92,21866,0,1,1
carre,25,1,62971.0,4533.912,83216,1,62971.0,4533.912,38502,0,2,1
carre,25,1,22264.0,1603.008,48402,1,22264.0,1603.008,41973,0,1,1
carre,25,1,62970.0,4533.84,102428,1,62970.0,4533.84,49846,0,2,1
carre,25,1,53746.04,3869.714671875,97397,1,53746.04,3869.714671875,40890,0,2,1
carre,25,1,76013.0,5472.936,125042,1,76013.0,5472.936,62682,0,3,1
carre,25,1,66789.1,4808.8153125,109265,1,66789.1,4808.8153125,39850,0,3,1
carre,25,1,89056.0,6412.032,248954,1,89056.0,6412.032,47132,0,4,1
carre,25,1,22264.0,1603.008,67148,1,22264.0,1603.008,31233,0,1,1
carre,25,1,98268.34,7075.320609375,137589,1,98268.34,7075.320609375,49164,0,4,1
carre,25,1,85235.0,6136.92,151170,1,85235.0,6136.92,96858,0,3,1
carre,25,1,53749.0,3869.928,87767,1,53749.0,3869.928,32381,0,2,1
carre,25,1,22262.238,1602.88115625,24439,1,22262.238,1602.88115625,18859,0,1,1
carre,25,1,31486.0,2266.992,126261,1,31486.0,2266.992,36508,0,1,1
carre,25,1,85234.0,6136.848,298903,1,85234.0,6136.848,107916,0,3,1
carre,25,1,53747.125,3869.7928593750003,73583,1,53747.125,3869.7928593750003,31957,0,2,1
carre,25,1,85235.0,6136.92,93302,1,85235.0,6136.92,46223,0,3,1
carre,25,1,53749.0,3869.928,38757,1,53749.0,3869.928,23900,0,2,1
carre,25,1,85233.234,6136.792875,121883,1,85233.234,6136.792875,54404,0,3,1
carre,25,1,31486.0,2266.992,65937,1,31486.0,2266.992,27380,0,1,1
carre,25,1,66792.0,4809.024,109846,1,66792.0,4809.024,49546,0,3,1
carre,25,1,22261.15,1602.802828125,14697,1,22261.15,1602.802828125,14777,0,1,1
carre,25,1,85235.055,6136.923796875,85670,1,85235.055,6136.923796875,39602,0,3,1
carre,25,1,31485.0,2266.92,38428,1,31485.0,2266.92,15066,0,1,1
carre,25,1,22264.0,1603.008,83910,1,22264.0,1603.008,34786,0,1,1
carre,25,1,53747.24,3869.80115625,156267,1,53747.24,3869.80115625,55945,0,2,1
carre,25,1,31485.0,2266.92,195939,1,31485.0,2266.92,52661,0,1,1
carre,25,1,85235.0,6136.92,209708,1,85235.0,6136.92,92169,0,3,1
carre,25,1,89048.836,6411.516328125001,167187,1,89048.836,6411.516328125001,68333,0,4,1
carre,25,1,31485.0,2266.92,84114,1,31485.0,2266.92,31525,0,1,1
carre,25,1,94457.0,6800.904,138108,1,94457.0,6800.904,48191,0,3,1
carre,25,1,76007.19,5472.5175,395795,1,76007.19,5472.5175,324499,3,3,1
carre,25,1,116717.16,8403.63525,194055,1,116717.16,8403.63525,213009,3,4,1
carre,25,1,98277.0,7075.9439999999995,133963,1,98277.0,7075.9439999999995,149513,3,4,0
carre,25,1,53749.0,3869.928,104240,1,53749.0,3869.928,103181,3,2,1
carre,25,1,62972.0,4533.984,102384,1,62972.0,4533.984,136884,3,2,1
carre,25,1,53750.0,3870.0,44011,1,53750.0,3870.0,60611,3,2,1
carre,25,1,44528.0,3206.016,41848,1,44528.0,3206.016,45416,3,2,1
carre,25,1,44528.0,3206.016,56315,1,44528.0,3206.016,46856,3,2,1
carre,25,1,53749.0,3869.928,50176,1,53749.0,3869.928,55883,3,2,1
carre,25,1,22264.0,1603.008,21177,1,22264.0,1603.008,16006,3,1,1
carre,25,1,76007.195,5472.517921875,87350,1,76007.195,5472.517921875,102057,3,3,1
carre,25,1,76007.305,5472.5259375000005,86725,1,76007.305,5472.5259375000005,181131,3,3,1
carre,25,1,85234.0,6136.848,330888,1,85234.0,6136.848,167357,3,3,1
carre,25,1,53750.0,3870.0,43636,1,53750.0,3870.0,49745,3,2,1
carre,25,1,76014.0,5473.008,55551,1,76014.0,5473.008,62979,3,3,1
carre,25,1,22264.0,1603.008,28205,1,22264.0,1603.008,20694,3,1,1
carre,25,1,22264.0,1603.008,106095,1,22264.0,1603.008,30895,3,1,1
carre,25,1,53750.0,3870.0,195687,1,53750.0,3870.0,213777,3,2,1
carre,25,1,66792.0,4809.024,90162,1,66792.0,4809.024,92238,3,3,1
carre,25,1,22264.0,1603.008,29176,1,22264.0,1603.008,19577,3,1,1
insa,1349,1,1345.3986,329.0389895617962,276625,1,1345.3986,329.0389895617962,210187,0,34,1
insa,1349,1,1251.8344,111.06584612274172,403084,1,1251.8344,111.06584612274172,268595,0,23,1
insa,1349,1,860.6495,83.55547547149659,383442,1,860.6495,83.55547547149659,175899,0,17,1
insa,1349,1,1382.2477,99.52183281040192,514067,1,1382.2477,99.52183281040192,55478,0,16,1
insa,1349,1,1492.7056,440.69799367904665,591371,1,1492.7056,440.69799367904665,452437,0,47,1
insa,1349,1,1042.885,397.247969455719,347398,1,1042.885,397.247969455719,165919,0,29,1
insa,1349,1,1460.0166,412.67017859458923,439482,1,1460.0166,412.67017859458923,305189,0,34,1
insa,1349,0,-1,-1,543596,0,-1,-1,1154134,0,0,1
insa,1349,1,1390.2202,367.9603327560425,346454,1,1390.2202,367.9603327560425,211707,0,30,1
insa,1349,1,423.42975,52.413477762222286,116183,1,423.42975,52.413477762222286,64718,0,7,1
insa,1349,0,-1,-1,534266,0,-1,-1,1306376,0,0,1
insa,1349,1,909.36,108.38754404067993,79863,1,909.36,108.38754404067993,53398,0,21,1
insa,1349,0,-1,-1,397211,0,-1,-1,865358,0,0,1
insa,1349,1,902.29517,83.86156738471985,207474,1,902.29517,83.86156738471985,225444,0,27,1
insa,1349,0,-1,-1,409610,0,-1,-1,844861,0,0,1
insa,1349,1,1742.1481,434.0455703716278,330398,1,1742.1481,434.0455703716278,334607,0,38,1
insa,1349,1,1692.6112,178.6606778268814,236355,1,1692.6112,178.6606778268814,182521,0,40,1
insa,1349,0,-1,-1,389349,0,-1,-1,922763,0,0,1
insa,1349,1,1409.4357,537.7498978614807,430175,1,1409.4357,537.7498978614807,64374,0,10,1
insa,1349,1,1528.7756,161.6556451005936,142700,1,1528.7756,161.6556451005936,162515,0,35,1
insa,1349,0,-1,-1,2143,0,-1,-1,2503,0,0,1
insa,1349,1,811.1089,90.19698364734649,126614,1,811.1089,90.19698364734649,56083,0,23,1
insa,1349,0,-1,-1,3183,0,-1,-1,4990,0,0,1
insa,1349,1,1356.539,316.6885167732239,209038,1,1356.539,316.6885167732239,165588,0,28,1
insa,1349,1,1426.3824,210.7802021942138,390439,1,1426.3824,210.7802021942138,244376,0,42,1
