map,feasibleBellman,lengthBellman,timeBellman,solvingTimeBellman,feasibleDijkstra,lengthDijkstra,timeDijkstra,solvingTimeDijkstra,feasibleAStar,lengthAStar,timeAStar,solvingTimeAStar,mode,valid
carre,1,94457.0,6800.904,1778135,1,94457.0,6800.904,1793089,1,94457.0,6800.904,327385,0,1
carre,1,66792.0,4809.024,435752,1,66792.0,4809.024,147083,1,66792.0,4809.024,62933,0,1
carre,1,62972.0,4533.984,311648,1,62972.0,4533.984,145193,1,62972.0,4533.984,84229,0,1
carre,1,76014.0,5473.008,272963,1,76014.0,5473.008,198647,1,76014.0,5473.008,155953,0,1
carre,1,116717.16,8403.63525,378098,1,116717.16,8403.63525,215203,1,116717.16,8403.63525,115500,0,1
carre,1,44526.047,3205.875515625,305990,1,44526.047,3205.875515625,454497,1,44526.047,3205.875515625,157585,0,1
carre,1,53749.0,3869.928,469260,1,53749.0,3869.928,255045,1,53749.0,3869.928,132672,0,1
carre,1,62971.0,4533.912,389314,1,62971.0,4533.912,122993,1,62971.0,4533.912,43327,0,1
carre,1,53747.234,3869.800875,207272,1,53747.234,3869.800875,176532,1,53747.234,3869.800875,128852,0,1
carre,1,107498.0,7739.856,655038,1,107498.0,7739.856,337596,1,107498.0,7739.856,196530,0,1
carre,1,22261.156,1602.80325,264324,1,22261.156,1602.80325,17465,1,22261.156,1602.80325,16752,0,1
carre,1,116720.0,8403.84,197112,1,116720.0,8403.84,205014,1,116720.0,8403.84,282964,0,1
carre,1,44528.0,3206.016,484384,1,44528.0,3206.016,55716,1,44528.0,3206.016,32511,0,1
carre,1,89056.0,6412.032,512617,1,89056.0,6412.032,170742,1,89056.0,6412.032,92843,0,1
carre,1,22262.238,1602.88115625,261275,1,22262.238,1602.88115625,22615,1,22262.238,1602.88115625,25076,0,1
carre,1,22264.0,1603.008,193535,1,22264.0,1603.008,48640,1,22264.0,1603.008,34103,0,1
carre,1,22264.0,1603.008,195233,1,22264.0,1603.008,16618,1,22264.0,1603.008,14044,0,1
carre,1,53749.0,3869.928,209241,1,53749.0,3869.928,205652,1,53749.0,3869.928,57371,0,1
carre,1,31485.0,2266.92,687670,1,31485.0,2266.92,27683,1,31485.0,2266.92,17142,0,1
carre,1,76009.36,5472.673734375,226735,1,76009.36,5472.673734375,75509,1,76009.36,5472.673734375,45321,0,1
carre,1,44528.0,3206.016,210135,1,44528.0,3206.016,47863,1,44528.0,3206.016,35593,0,1
carre,1,76007.19,5472.5175,317001,1,76007.19,5472.5175,116332,1,76007.19,5472.5175,95776,0,1
carre,1,44528.0,3206.016,255506,1,44528.0,3206.016,132742,1,44528.0,3206.016,45392,0,1
carre,1,85234.0,6136.848,300314,1,85234.0,6136.848,102058,1,85234.0,6136.848,83181,0,1
carre,1,22263.053,1602.939796875,246566,1,22263.053,1602.939796875,37864,1,22263.053,1602.939796875,49727,0,1
carre,1,85234.0,6136.848,689939,1,85234.0,6136.848,160138,1,85234.0,6136.848,50287,0,1
carre,1,85234.0,6136.848,204097,1,85234.0,6136.848,100057,1,85234.0,6136.848,52372,0,1
carre,1,22264.0,1603.008,267296,1,22264.0,1603.008,35772,1,22264.0,1603.008,28082,0,1
carre,1,44522.188,3205.5975,265998,1,44522.188,3205.5975,35906,1,44522.188,3205.5975,45537,0,1
carre,1,53749.0,3869.928,355548,1,53749.0,3869.928,158007,1,53749.0,3869.928,69217,0,1
carre,1,31485.0,2266.92,249870,1,31485.0,2266.92,68940,1,31485.0,2266.92,30761,0,1
carre,1,107498.0,7739.856,80151,1,107498.0,7739.856,89559,1,107498.0,7739.856,92458,0,1
carre,1,98277.0,7075.9439999999995,228845,1,98277.0,7075.9439999999995,87388,1,98277.0,7075.9439999999995,54280,0,1
carre,1,53746.15,3869.722828125,168756,1,53746.15,3869.722828125,59182,1,53746.15,3869.722828125,25926,0,1
carre,1,31486.0,2266.992,115479,1,31486.0,2266.992,52548,1,31486.0,2266.992,29729,0,1
carre,1,76014.0,5473.008,250540,1,76014.0,5473.008,118807,1,76014.0,5473.008,68010,0,1
carre,1,44528.0,3206.016,255357,1,44528.0,3206.016,104826,1,44528.0,3206.016,43658,0,1
carre,1,89056.0,6412.032,197730,1,89056.0,6412.032,237980,1,89056.0,6412.032,64009,0,1
carre,1,31485.0,2266.92,204098,1,31485.0,2266.92,72934,1,31485.0,2266.92,29453,0,1
carre,1,22264.0,1603.008,348447,1,22264.0,1603.008,39218,1,22264.0,1603.008,24096,0,1
