map,feasibleDijkstra,lengthDijkstra,timeDijkstra,solvingTimeDijkstra,feasibleAStar,lengthAStar,timeAStar,solvingTimeAStar,mode,valid
fr,1,523896.0,38866.42564400482,22861026194,1,523896.0,38866.42564400482,2547266593,0,1
fr,1,99438.6,3654.0866554282693,429259159,1,99438.6,3654.0866554282693,56823132,0,1
fr,1,555671.4,32830.63807551048,13031068543,1,555671.4,32830.63807551048,2435819083,0,1
fr,1,573402.75,40389.15183169292,14603029053,1,573402.75,40389.15183169292,4585191195,0,1
fr,1,698874.8,35044.16329053311,10499896641,1,698874.8,35044.16329053311,5346316402,0,1
fr,1,270675.1,17306.777975121113,3879894828,1,270675.1,17306.777975121113,345338070,0,1
fr,1,402790.7,22339.606339598256,3481487204,1,402790.7,22339.606339598256,1291055128,0,1
fr,1,503416.56,37261.94039786754,17258670395,1,503416.56,37261.94039786754,3375349409,0,1
fr,1,367302.56,18073.60780839583,5741500170,1,367302.56,18073.60780839583,1046927710,0,1
fr,1,433592.7,32186.66345048902,11204427435,1,433592.7,32186.66345048902,1036633506,0,1
fr,1,580315.8,35066.01172661595,15974353375,1,580315.8,35066.01172661595,5217661403,0,1
fr,1,705565.3,41412.2562120206,22939358980,1,705565.3,41412.2562120206,5328270575,0,1
fr,1,421684.88,30280.46516116439,3668630870,1,421684.88,30280.46516116439,2085677742,0,1
fr,1,671574.7,48769.79464524115,5267198913,1,671574.7,48769.79464524115,1256460468,0,1
fr,1,334339.44,24166.593935739817,7899091014,1,334339.44,24166.593935739817,601416452,0,1
fr,1,385156.56,28024.04645274378,2463728576,1,385156.56,28024.04645274378,977569631,0,1
fr,1,867832.0,52364.17799551108,17617019286,1,867832.0,52364.17799551108,10897245917,0,1
fr,1,211607.52,12381.624891062838,2781355729,1,211607.52,12381.624891062838,214657503,0,1
fr,1,570092.2,40256.36072934913,7975944999,1,570092.2,40256.36072934913,3809006998,0,1
fr,1,417340.4,27583.35917038212,4155061430,1,417340.4,27583.35917038212,2802851802,0,1
fr,1,377854.84,23335.647276779426,11709954969,1,377854.84,23335.647276779426,745273966,0,1
fr,1,411981.12,Infinity,5740920696,1,411981.12,Infinity,1026606344,0,1
fr,1,510131.0,31481.613978735724,10885900839,1,510131.0,31481.613978735724,3591616808,0,1
fr,1,732952.6,36594.75549645403,15162493358,1,732952.6,36594.75549645403,6158708392,0,1
fr,1,105876.85,5570.047652727903,470606908,1,105876.85,5570.047652727903,23362622,0,1
fr,1,365635.9,20216.334321962557,1102156869,1,365635.9,20216.334321962557,1933109713,0,1
fr,1,661659.75,43462.67128327481,17795169859,1,661659.75,43462.67128327481,5522756964,0,1
fr,1,841060.6,55270.25732011189,16348688865,1,841060.6,55270.25732011189,8249335547,0,1
fr,1,116394.164,8311.895758168634,843072077,1,116394.164,8311.895758168634,70922562,0,1
fr,1,334012.0,22803.279729524755,3754079709,1,334012.0,22760.18360061087,947126609,0,1
