map,totalNodes,feasibleDijkstra,lengthDijkstra,timeDijkstra,solvingTimeDijkstra,feasibleAStar,lengthAStar,timeAStar,solvingTimeAStar,mode,arcs,valid
fr,9178938,1,530313.56,33488.58852295037,6173183717,1,530313.56,33488.58852295037,3047536979,0,3058,1
fr,9178938,1,289094.53,21527.819251964145,3550193845,1,289094.53,21527.819251964145,430984986,0,1369,1
fr,9178938,1,407998.34,21884.794989913535,8320645018,1,407998.34,21884.794989913535,3039669473,0,1717,1
fr,9178938,1,315273.22,22792.712722899574,2127982013,1,315273.22,22792.712722899574,711947103,0,1681,1
fr,9178938,0,-1,-1,10908393,0,-1,-1,1135906180,0,0,1
fr,9178938,1,118503.04,7661.107417872788,759981501,1,118503.04,7661.107417872788,132168566,0,623,1
fr,9178938,1,177468.11,13516.904436832467,1587065339,1,177468.11,13516.904436832467,1464922215,0,1272,1
fr,9178938,1,323329.5,23360.231796881904,3954930369,1,323329.5,23360.231796881904,1333204711,0,1855,1
fr,9178938,1,329161.88,21240.8669360471,1712924404,1,329161.88,21240.8669360471,427884113,0,1341,1
fr,9178938,1,221399.58,16116.361886153496,3050843624,1,221399.58,16116.361886153496,262198706,0,1146,1
fr,9178938,1,581574.25,38242.88574906021,8637414260,1,581574.25,38242.88574906021,3847468631,0,3003,1
fr,9178938,1,243902.14,14866.462162687703,2881044312,1,243902.14,14866.462162687703,652468842,0,1351,1
fr,9178938,1,584081.6,35911.75947084689,13410670200,1,584081.6,35911.75947084689,2805165198,0,2807,1
fr,9178938,1,68594.61,4852.5443185291315,189754681,1,68594.61,4852.5443185291315,23939123,0,348,1
fr,9178938,1,81342.914,2856.107756373158,1464902397,1,81342.914,2856.107756373158,54997968,0,201,1
fr,9178938,1,699983.5,35438.30737150619,21091776670,1,699983.5,35438.30737150619,6930928111,0,3422,1
fr,9178938,1,402473.97,27860.11388702496,9778989989,1,402473.97,27860.11388702496,734675748,0,1774,1
fr,9178938,1,561722.06,30241.213588844315,3749567864,1,561722.06,30241.213588844315,2200480897,0,2593,1
fr,9178938,1,167793.42,13196.55779755128,1802108088,1,167793.42,13196.55779755128,283337641,0,1103,1
fr,9178938,1,167370.4,13275.505075324396,2882324594,1,167370.4,13275.505075324396,357475286,0,940,1
fr,9178938,1,180588.34,14225.182197781018,247686334,1,180588.34,14225.182197781018,170702337,0,748,1
fr,9178938,1,927262.9,61980.52129262067,18555267734,1,927262.9,61980.52129262067,15479186361,0,5111,1
fr,9178938,1,178764.44,11887.192549293246,949178378,1,178764.44,11887.192549293246,202912428,0,1230,1
fr,9178938,1,168664.17,Infinity,1928162071,1,168664.17,Infinity,107926524,0,694,1
fr,9178938,1,745684.25,45292.68037335897,14171234294,1,745684.25,45292.68037335897,5246680786,0,4080,1
fr,9178938,1,105218.305,7353.941556998997,455769551,1,105218.305,7353.941556998997,65450069,0,967,1
fr,9178938,1,410066.56,22986.37343786875,7038471200,1,410066.56,22986.37343786875,1451356991,0,1965,1
fr,9178938,1,681691.06,45395.62235518324,16823017965,1,681691.06,45395.62235518324,6732219207,0,3130,1
fr,9178938,1,416938.3,26947.50102386269,5241693024,1,416938.3,26947.50102386269,3258192918,0,2222,1
fr,9178938,1,662289.9,38967.328078537124,18212668563,1,662289.9,38967.328078537124,6089781305,0,3078,1
