map,totalNodes,feasibleDijkstra,lengthDijkstra,timeDijkstra,solvingTimeDijkstra,feasibleAStar,lengthAStar,timeAStar,solvingTimeAStar,mode,arcs,valid
hg,157890,0,-1,-1,82990,0,-1,-1,36102,3,0,1
hg,157890,0,-1,-1,51971,0,-1,-1,22530,3,0,1
hg,157890,1,25859.783,2573.602720697539,47383369,1,25859.783,2573.602720697539,79620695,3,311,1
hg,157890,1,29240.322,2742.814400023321,55282716,1,29250.451,2332.3227128380354,92213345,3,326,0
hg,157890,1,8617.784,857.7107555833546,13164832,1,8617.784,857.7107555833546,22159128,3,155,1
hg,157890,1,130371.28,9896.042776468277,67836417,1,130417.01,9892.615112346923,120519172,3,526,0
hg,157890,1,14352.682,1140.9180269451144,27068749,1,14352.682,1140.9180269451144,49847601,3,293,1
hg,157890,1,103187.45,7285.753178587027,43095116,1,103187.45,7285.753178587027,88844490,3,738,1
hg,157890,1,120120.16,9255.601297619813,75133706,1,120120.16,9255.601297619813,124383225,3,882,1
hg,157890,1,31391.363,3193.081059150968,21825410,1,31391.363,3193.081059150968,33258429,3,366,1
hg,157890,1,54233.92,2760.39298612758,9004111,1,54233.92,2760.39298612758,17831853,3,387,1
hg,157890,1,48945.535,3250.60921043096,67635594,1,48945.535,3250.60921043096,122482783,3,663,1
hg,157890,1,15044.463,2060.783962945801,20097905,1,15044.463,2060.783962945801,36741469,3,363,1
hg,157890,1,35153.832,3246.0025667634713,61642492,1,35154.84,3213.5602192178476,105865256,3,501,0
hg,157890,1,37440.242,2241.954623855863,26323437,1,37440.242,2241.954623855863,43887807,3,332,1
hg,157890,1,3275.9658,251.5082807998657,178996,1,3275.9658,251.5082807998657,290314,3,11,1
hg,157890,1,33607.484,2792.5709877346585,7075177,1,33607.484,2792.5709877346585,14375921,3,186,1
hg,157890,1,43983.836,3016.8476377000134,14611000,1,43983.836,3016.8476377000134,26896160,3,250,1
hg,157890,1,25826.94,2444.3335302926484,41651068,1,25826.94,2444.3335302926484,73651356,3,485,1
hg,157890,1,22509.014,2548.0124167894633,46971360,1,22517.275,2299.9539709734236,81210509,3,449,0
hg,157890,1,27540.643,1767.8293629736231,51084493,1,27540.643,1767.8293629736231,90026275,3,321,1
hg,157890,1,25921.926,3069.110179733412,44661163,1,25925.156,2970.3793881741913,70961790,3,539,0
hg,157890,0,-1,-1,68234615,0,-1,-1,117972629,3,0,1
hg,157890,0,-1,-1,71971181,0,-1,-1,128100560,3,0,1
hg,157890,1,4168.12,502.3482587471007,5088405,1,4168.12,502.3482587471007,11146340,3,66,1
hg,157890,1,25094.02,1828.1778029082168,25764688,1,25094.02,1828.1778029082168,45638620,3,278,1
hg,157890,0,-1,-1,84222,0,-1,-1,33528,3,0,1
hg,157890,1,19167.664,2370.3001331772125,43532730,1,19167.664,2370.3001331772125,74644853,3,255,1
hg,157890,1,11278.185,1175.6277907396718,14519338,1,11278.185,1175.6277907396718,28807954,3,204,1
hg,157890,1,34899.86,3648.894233699524,54778317,1,34905.973,3405.458416894639,94511083,3,551,0
hg,157890,1,15052.837,937.7043231157576,27630482,1,15052.837,937.7043231157576,44146503,3,157,1
hg,157890,0,-1,-1,128994,0,-1,-1,78578,3,0,1
hg,157890,1,71572.77,5257.062975873533,58362783,1,71592.23,4914.54049730314,100957688,3,740,0
hg,157890,1,69804.44,5110.091010339463,54570552,1,69804.44,5110.091010339463,89866321,3,354,1
hg,157890,1,3778.538,562.0798538208007,4278614,1,3778.538,562.0798538208007,8094952,3,85,1
