map,feasibleBellman,lengthBellman,timeBellman,solvingTimeBellman,feasibleDijkstra,lengthDijkstra,timeDijkstra,solvingTimeDijkstra,feasibleAStar,lengthAStar,timeAStar,solvingTimeAStar,mode,valid
insa,0,-1,-1,11627545,0,-1,-1,2214746,0,-1,-1,2006303,0,1
insa,1,985.2814,253.80284759330758,10466316,1,985.2814,253.80284759330758,784517,1,985.2814,253.80284759330758,359380,0,1
insa,1,1195.7603,337.62098209762576,13473118,1,1195.7603,337.62098209762576,787719,1,1195.7603,337.62098209762576,480918,0,1
insa,1,1149.2992,394.95611866950986,8012941,1,1149.2992,394.95611866950986,248323,1,1149.2992,394.95611866950986,242209,0,1
insa,0,-1,-1,880661,0,-1,-1,6695,0,-1,-1,8543,0,1
insa,0,-1,-1,7128630,0,-1,-1,1221741,0,-1,-1,1568704,0,1
insa,0,-1,-1,845371,0,-1,-1,7137,0,-1,-1,4734,0,1
insa,1,1219.1768,292.41464295387266,5785092,1,1219.1768,292.41464295387266,318399,1,1219.1768,292.41464295387266,210265,0,1
insa,0,-1,-1,586243,0,-1,-1,6051,0,-1,-1,6273,0,1
insa,1,1771.088,473.5881879959106,5431316,1,1771.088,473.5881879959106,445693,1,1771.088,473.5881879959106,323677,0,1
insa,1,1076.7108,123.33225407409668,3346673,1,1076.7108,123.33225407409668,243417,1,1076.7108,123.33225407409668,111240,0,1
insa,1,1943.914,213.46465810775757,2674855,1,1943.914,213.46465810775757,161655,1,1943.914,213.46465810775757,146884,0,1
insa,1,1168.886,193.01596680450442,2951188,1,1168.886,193.01596680450442,121047,1,1168.886,193.01596680450442,124976,0,1
insa,1,1105.6464,193.56329444503788,6892317,1,1105.6464,193.56329444503788,193258,1,1105.6464,193.56329444503788,106987,0,1
insa,1,1757.9668,621.4811659240723,2969956,1,1757.9668,621.4811659240723,360635,1,1757.9668,621.4811659240723,281672,0,1
insa,1,486.47513,124.11253629684445,2821901,1,486.47513,124.11253629684445,66518,1,486.47513,124.11253629684445,57141,0,1
insa,1,1795.327,434.0299594924449,3087055,1,1795.327,434.0299594924449,357272,1,1795.327,434.0299594924449,216571,0,1
insa,1,3252.4797,383.68652590370186,3210112,1,3252.4797,383.68652590370186,336936,1,3252.4797,383.68652590370186,256308,0,1
insa,1,2293.5916,562.5014065647124,3049040,1,2293.5916,562.5014065647124,463269,1,2293.5916,562.5014065647124,519725,0,1
insa,1,1000.97125,113.96437481117249,3758500,1,1000.97125,113.96437481117249,299007,1,1000.97125,113.96437481117249,242334,0,1
insa,1,1293.336,358.1631712646484,4587557,1,1293.336,358.1631712646484,237368,1,1293.336,358.1631712646484,296517,0,1
insa,0,-1,-1,649727,0,-1,-1,20769,0,-1,-1,18709,0,1
insa,1,530.5159,175.7618622894287,2681804,1,530.5159,175.7618622894287,64069,1,530.5159,175.7618622894287,38681,0,1
insa,1,1739.8239,502.24183467865,2489663,1,1739.8239,502.24183467865,262717,1,1739.8239,502.24183467865,227661,0,1
insa,1,1446.7266,259.99381921577447,2571641,1,1446.7266,259.99381921577447,330848,1,1446.7266,259.99381921577447,209878,0,1
insa,0,-1,-1,4327246,0,-1,-1,531873,0,-1,-1,1007538,0,1
insa,0,-1,-1,544881,0,-1,-1,4690,0,-1,-1,3466,0,1
insa,1,2851.0264,722.6681984481813,3209145,1,2851.0264,722.6681984481813,380480,1,2851.0264,722.6681984481813,728624,0,1
insa,0,-1,-1,2800683,0,-1,-1,446803,0,-1,-1,820353,0,1
insa,0,-1,-1,3986765,0,-1,-1,415353,0,-1,-1,1032002,0,1
insa,1,2039.7594,678.328339805603,2557687,1,2039.7594,678.328339805603,705733,1,2039.7594,678.328339805603,658700,0,1
insa,1,1770.1564,515.7542947196961,2149557,1,1770.1564,515.7542947196961,325106,1,1770.1564,515.7542947196961,417297,0,1
insa,0,-1,-1,391734,0,-1,-1,10237,0,-1,-1,19401,0,1
insa,1,935.4299,99.6040647583008,1896147,1,935.4299,99.6040647583008,320616,1,935.4299,99.6040647583008,150642,0,1
insa,1,177.20912,46.99964867591858,2185132,1,177.20912,46.99964867591858,51082,1,177.20912,46.99964867591858,60973,0,1
insa,0,-1,-1,191007,0,-1,-1,4673,0,-1,-1,4224,0,1
insa,0,-1,-1,344222,0,-1,-1,19476,0,-1,-1,10858,0,1
insa,0,-1,-1,214516,0,-1,-1,12622,0,-1,-1,9672,0,1
insa,1,1342.5526,119.07715032005311,3611327,1,1342.5526,119.07715032005311,319470,1,1342.5526,119.07715032005311,312109,0,1
insa,1,1067.1461,112.65265961265564,1784238,1,1067.1461,112.65265961265564,208623,1,1067.1461,112.65265961265564,127754,0,1
insa,0,-1,-1,159154,0,-1,-1,5205,0,-1,-1,4479,0,1
insa,1,2552.5925,182.00162346758168,1735256,1,2552.5925,182.00162346758168,131292,1,2552.5925,182.00162346758168,76661,0,1
insa,1,1519.4065,462.82497472000125,3561299,1,1519.4065,462.82497472000125,277396,1,1519.4065,462.82497472000125,273877,0,1
