map,feasibleDijkstra,lengthDijkstra,timeDijkstra,solvingTimeDijkstra,feasibleAStar,lengthAStar,timeAStar,solvingTimeAStar,mode,valid
mp,1,111703.555,7478.162969425062,132258784,1,111732.34,7480.59285138743,201596615,3,0
mp,1,98897.14,7042.348905766625,251401118,1,98902.586,7001.101767155787,418572228,3,0
mp,1,129183.31,9117.267378245637,286802592,1,129183.31,9117.267378245637,533815257,3,1
mp,1,161389.11,10289.57210504675,296314054,1,161434.98,10263.089791162014,461377592,3,0
mp,1,212835.69,14493.004144449798,310232624,1,212877.44,14368.745402280822,580399659,3,0
mp,1,41268.168,3627.2382891687653,80146885,1,41290.016,3442.947108903612,123462091,3,0
mp,1,113654.7,8297.925014212964,166648242,1,113673.49,8293.23392938554,249595778,3,0
mp,0,-1,-1,231401,0,-1,-1,128766,3,1
mp,1,365182.16,23117.119605917796,341832222,1,366698.84,22370.175554145982,682730521,3,0
mp,1,173626.16,12396.062101888518,261439155,1,174035.75,12337.82416178989,435969911,3,0
