map,feasibleBellman,lengthBellman,timeBellman,solvingTimeBellman,feasibleDijkstra,lengthDijkstra,timeDijkstra,solvingTimeDijkstra,feasibleAStar,lengthAStar,timeAStar,solvingTimeAStar,mode,valid
toulouse,1,4947.8535,517.0839317493441,486363755,1,4947.8535,517.0839317493441,7604264,1,4947.8535,517.0839317493441,1872639,0,1
toulouse,0,-1,-1,486845184,0,-1,-1,16858003,0,-1,-1,29911907,0,1
toulouse,1,6235.996,808.846040499687,588906480,1,6235.996,808.846040499687,3829117,1,6235.996,808.846040499687,1840598,0,1
toulouse,1,8218.282,783.0662814331055,747771630,1,8218.282,783.0662814331055,6523293,1,8218.282,783.0662814331055,1470469,0,1
toulouse,0,-1,-1,614486558,0,-1,-1,18505396,0,-1,-1,32563897,0,1
toulouse,0,-1,-1,856065249,0,-1,-1,16572003,0,-1,-1,31099888,0,1
toulouse,1,5728.9683,864.5079009639193,517268107,1,5728.9683,864.5079009639193,4661434,1,5728.9683,864.5079009639193,1352229,0,1
toulouse,1,5369.6924,332.0005310110365,456224271,1,5369.6924,332.0005310110365,6182915,1,5369.6924,332.0005310110365,1261650,0,1
toulouse,1,10334.144,734.7767089227947,462058126,1,10334.144,734.7767089227947,10694484,1,10334.144,734.7767089227947,6620989,0,1
toulouse,1,3532.2275,525.2332344789504,371455590,1,3532.2275,525.2332344789504,2761628,1,3532.2275,525.2332344789504,1147384,0,1
toulouse,1,9553.161,790.1497160301205,423923467,1,9553.161,790.1497160301205,11459269,1,9553.161,790.1497160301205,4672077,0,1
toulouse,1,6871.359,1025.2125203866956,482044120,1,6871.359,1025.2125203866956,8965975,1,6871.359,1025.2125203866956,4276145,0,1
toulouse,1,4002.8064,891.386902873993,413964700,1,4002.8064,891.386902873993,3897471,1,4002.8064,891.386902873993,1850714,0,1
toulouse,1,8668.679,872.9551863261639,471170634,1,8668.679,872.9551863261639,11724486,1,8668.679,872.9551863261639,4010668,0,1
toulouse,1,5718.716,739.8790677501132,425361583,1,5718.716,739.8790677501132,5395403,1,5718.716,739.8790677501132,2523514,0,1
toulouse,1,2698.732,370.3464355773927,384864544,1,2698.732,370.3464355773927,3309338,1,2698.732,370.3464355773927,233565,0,1
toulouse,1,4899.5034,500.8059959678651,495684764,1,4899.5034,500.8059959678651,4098301,1,4899.5034,500.8059959678651,2652770,0,1
