map,feasibleDijkstra,lengthDijkstra,timeDijkstra,solvingTimeDijkstra,feasibleAStar,lengthAStar,timeAStar,solvingTimeAStar,mode,valid
toulouse,0,-1,-1,12515,0,-1,-1,26784,3,1
toulouse,1,4908.489,432.315256204605,1918123,1,4908.489,432.315256204605,4047013,3,1
toulouse,1,4875.574,648.07566418566,4722692,1,4875.574,648.07566418566,8757852,3,1
toulouse,1,2172.961,223.1083351535797,1196088,1,2172.961,223.1083351535797,2499815,3,1
toulouse,0,-1,-1,64939,0,-1,-1,62974,3,1
toulouse,0,-1,-1,17785513,0,-1,-1,33454674,3,1
toulouse,1,10300.012,1411.8717544561116,7550632,1,10300.012,1411.8717544561116,21373101,3,1
toulouse,1,3651.7046,405.14902090726576,4377250,1,3651.7046,405.14902090726576,8405060,3,1
toulouse,1,8419.155,1067.2578834228514,5388820,1,8419.155,1067.2578834228514,7153416,3,1
toulouse,0,-1,-1,14203779,0,-1,-1,27404748,3,1
toulouse,1,11643.499,1286.1873191814425,15778788,1,11643.499,1286.1873191814425,28901116,3,1
toulouse,1,4808.8994,502.8227127490727,7551543,1,4808.8994,502.8227127490727,13430969,3,1
toulouse,1,12923.892,1990.547438917433,13830447,1,12923.892,1990.547438917433,27459565,3,1
toulouse,1,1840.1622,239.8673588447571,725782,1,1840.1622,239.8673588447571,1124254,3,1
toulouse,0,-1,-1,34241,0,-1,-1,12218,3,1
toulouse,1,3602.9863,326.19845357404444,1099040,1,3602.9863,326.19845357404444,1924386,3,1
toulouse,1,3936.6353,284.9684640140534,3239544,1,3936.6353,284.9684640140534,5825045,3,1
toulouse,1,4292.6694,650.9402438936237,1964658,1,4292.6694,650.9402438936237,3298313,3,1
toulouse,0,-1,-1,32784,0,-1,-1,14296,3,1
toulouse,1,5293.144,823.9414573421478,6184682,1,5293.144,823.9414573421478,10441090,3,1
toulouse,1,7126.742,1100.813168432235,6322973,1,7126.742,1100.813168432235,12048663,3,1
toulouse,0,-1,-1,16520114,0,-1,-1,31027830,3,1
toulouse,1,3026.8076,289.6423971819877,2131850,1,3026.8076,289.6423971819877,4371198,3,1
toulouse,0,-1,-1,17410382,0,-1,-1,29293373,3,1
toulouse,1,13585.127,1181.1662926314211,12395851,1,13585.127,1181.1662926314211,23191833,3,1
toulouse,1,1496.6196,154.22462209510803,678751,1,1496.6196,154.22462209510803,1101160,3,1
toulouse,1,7710.3677,680.7238844251632,10206136,1,7710.3677,680.7238844251632,18416124,3,1
toulouse,1,10371.6455,1178.5960024805067,14079181,1,10371.6455,1178.5960024805067,26227018,3,1
toulouse,0,-1,-1,13684,0,-1,-1,12245,3,1
toulouse,1,12798.043,1177.6754848153255,10097302,1,12798.043,1177.6754848153255,19083445,3,1
toulouse,0,-1,-1,15532686,0,-1,-1,27993977,3,1
toulouse,1,5408.649,948.7950371284488,5674358,1,5408.649,948.7950371284488,9417538,3,1
toulouse,0,-1,-1,15292429,0,-1,-1,32575684,3,1
toulouse,1,4560.194,1203.611230138779,7506620,1,4560.194,1203.611230138779,14511337,3,1
toulouse,1,6237.5654,789.6467247457506,11133188,1,6237.5654,789.6467247457506,15891352,3,1
toulouse,0,-1,-1,15893586,0,-1,-1,28957952,3,1
toulouse,1,9141.379,1225.439367300306,14732476,1,9141.379,1225.439367300306,26411886,3,1
toulouse,1,8064.179,1313.545506154468,15435420,1,8064.405,1255.074839250019,26138593,3,0
toulouse,1,7710.8755,663.3740000594001,8008529,1,7710.8755,663.3740000594001,14248883,3,1
toulouse,0,-1,-1,154817,0,-1,-1,215378,3,1
toulouse,1,14383.703,1545.2398946268906,21017794,1,14383.703,1545.2398946268906,30062827,3,1
toulouse,1,8740.166,1235.0641433347969,14530806,1,8740.166,1235.0641433347969,28951744,3,1
toulouse,1,8300.575,822.7952313643859,13881829,1,8300.575,822.7952313643859,23377857,3,1
toulouse,0,-1,-1,16560415,0,-1,-1,29876556,3,1
toulouse,0,-1,-1,13999,0,-1,-1,39470,3,1
toulouse,0,-1,-1,13925537,0,-1,-1,26578804,3,1
toulouse,1,6023.293,687.1114469530926,9566246,1,6023.293,687.1114469530926,16598613,3,1
toulouse,1,5097.016,677.1804695647105,4692965,1,5097.016,677.1804695647105,9479864,3,1
toulouse,1,8102.5005,821.1284364862448,9390857,1,8104.4287,727.2862448625567,17357288,3,0
toulouse,0,-1,-1,55237,0,-1,-1,92920,3,1
