map,totalNodes,feasibleDijkstra,lengthDijkstra,timeDijkstra,solvingTimeDijkstra,feasibleAStar,lengthAStar,timeAStar,solvingTimeAStar,mode,arcs,valid
toulouse,39858,1,9376.205,1328.6852958478926,14571598,1,9376.205,1328.6852958478926,31588024,3,242,1
toulouse,39858,1,6672.164,823.5143133820125,7653174,1,6672.164,823.5143133820125,16805103,3,122,1
toulouse,39858,1,4194.787,1172.0817334671024,1171688,1,4194.787,1172.0817334671024,2638588,3,98,1
toulouse,39858,0,-1,-1,16635314,0,-1,-1,28803655,3,0,1
toulouse,39858,1,3133.3237,252.42457711029056,2868437,1,3133.3237,252.42457711029056,5352453,3,64,1
toulouse,39858,1,2596.2883,605.9763214596339,1077951,1,2596.2883,605.9763214596339,1855222,3,56,1
toulouse,39858,0,-1,-1,14987120,0,-1,-1,30059139,3,0,1
toulouse,39858,0,-1,-1,14761433,0,-1,-1,26869123,3,0,1
toulouse,39858,1,13055.86,1581.2440059490198,12898896,1,13055.86,1581.2440059490198,25886808,3,196,1
toulouse,39858,1,4935.7363,561.9710483706336,7055203,1,4935.7363,561.9710483706336,12719781,3,94,1
toulouse,39858,0,-1,-1,16616635,0,-1,-1,29450317,3,0,1
toulouse,39858,0,-1,-1,80303,0,-1,-1,64579,3,0,1
toulouse,39858,1,5513.8135,848.7147550915314,10625002,1,5513.8135,848.7147550915314,18087975,3,138,1
toulouse,39858,1,7731.8247,1039.7584008579254,10237370,1,7731.8247,1039.7584008579254,20407248,3,150,1
toulouse,39858,1,3126.801,428.765342042923,3833206,1,3126.801,428.765342042923,6335391,3,81,1
toulouse,39858,1,4454.3823,330.65503226852417,4498377,1,4454.3823,330.65503226852417,10180836,3,52,1
toulouse,39858,1,8593.036,634.721170952797,10661958,1,8593.036,634.721170952797,23962838,3,205,1
toulouse,39858,0,-1,-1,27669,0,-1,-1,18605,3,0,1
toulouse,39858,1,13357.293,1609.6639343531467,15304612,1,13359.139,1597.5702703440527,26985013,3,221,0
toulouse,39858,0,-1,-1,15478585,0,-1,-1,28436335,3,0,1
toulouse,39858,1,8585.3545,1164.9072424785072,3616550,1,8585.3545,1164.9072424785072,7733564,3,183,1
toulouse,39858,1,13367.222,1337.3201383329124,11032837,1,13367.222,1337.3201383329124,23765143,3,300,1
toulouse,39858,1,3255.2634,425.1693400468826,3939481,1,3255.2634,425.1693400468826,8421634,3,85,1
toulouse,39858,1,12930.63,1102.3152216944013,12603324,1,12930.63,1102.3152216944013,26890169,3,285,1
toulouse,39858,0,-1,-1,13721,0,-1,-1,14821,3,0,1
toulouse,39858,1,6842.626,1487.4582408428191,2661999,1,6842.626,1487.4582408428191,6833822,3,93,1
toulouse,39858,0,-1,-1,16268635,0,-1,-1,31550349,3,0,1
toulouse,39858,1,6889.0757,1070.449663817406,12962171,1,6889.0757,1070.449663817406,24621890,3,190,1
toulouse,39858,0,-1,-1,14992050,0,-1,-1,28718552,3,0,1
toulouse,39858,1,7605.491,913.9445975200109,6235315,1,7605.491,913.9445975200109,10036898,3,110,1
toulouse,39858,1,9255.29,916.3056616762705,11748026,1,9255.29,916.3056616762705,22887306,3,219,1
toulouse,39858,1,7449.1343,896.6065713567733,9793274,1,7449.1343,896.6065713567733,18791228,3,224,1
toulouse,39858,0,-1,-1,14867166,0,-1,-1,28846053,3,0,1
toulouse,39858,1,1674.9521,745.587482723236,1050171,1,1674.9521,745.587482723236,1884576,3,42,1
toulouse,39858,1,3219.493,244.6417665628706,1758625,1,3219.493,244.6417665628706,3506829,3,48,1
toulouse,39858,1,7385.0513,909.844895665169,2626752,1,7385.0513,909.844895665169,5975248,3,73,1
toulouse,39858,0,-1,-1,15715028,0,-1,-1,27398910,3,0,1
toulouse,39858,0,-1,-1,58093,0,-1,-1,62679,3,0,1
toulouse,39858,1,2285.0908,287.63967045593245,1106178,1,2285.0908,287.63967045593245,2081987,3,49,1
toulouse,39858,0,-1,-1,13641835,0,-1,-1,29421034,3,0,1
toulouse,39858,1,8790.515,961.1653976335531,16292389,1,8790.515,961.1653976335531,29538238,3,225,1
toulouse,39858,1,11411.191,1682.8553669868188,14818336,1,11413.037,1670.7617029777246,27048176,3,254,0
toulouse,39858,1,6493.9272,621.9355034057074,11474306,1,6493.9272,621.9355034057074,21218662,3,150,1
toulouse,39858,0,-1,-1,18029,0,-1,-1,21994,3,0,1
toulouse,39858,0,-1,-1,25513,0,-1,-1,25631,3,0,1
toulouse,39858,1,8184.502,997.0181349449158,3491635,1,8184.502,997.0181349449158,5522238,3,177,1
toulouse,39858,1,6910.9253,732.3901801219666,12259145,1,6910.9253,732.3901801219666,19919244,3,184,1
toulouse,39858,1,9691.546,781.2099507457185,4808350,1,9691.546,781.2099507457185,10325993,3,206,1
toulouse,39858,1,8113.829,901.6023689975738,9017416,1,8113.829,901.6023689975738,17794079,3,136,1
toulouse,39858,0,-1,-1,15256061,0,-1,-1,28179521,3,0,1
