feasibleDijkstra,lengthDijkstra,timeDijkstra,solvingTimeDijkstra,feasibleAStar,lengthAStar,timeAStar,solvingTimeAStar,mode
1,681381.8,37071.40955433577,16399,1,681381.8,37071.40955433577,6812,0
1,449642.38,23880.56427160557,15748,1,449642.38,23880.56427160557,2036,0
1,558029.1,33936.96018234136,6259,1,558029.1,33940.05045911182,3633,0
1,198214.62,14880.933773995232,2084,1,198214.62,14880.933773995232,114,0
1,213573.36,10916.052306311762,2549,1,213573.36,10916.052306311762,208,0
1,667431.75,47648.981656004595,14790,1,667431.75,47648.981656004595,5543,0
1,475540.7,25852.985204191507,4607,1,475540.7,25852.985204191507,2060,0
1,64584.45,4726.446207693916,161,1,64584.45,4726.446207693916,20,0
1,759177.7,39393.78139312061,14798,1,759177.7,39393.78139312061,8460,0
1,184479.98,14226.00833648887,1501,1,184479.98,14226.00833648887,192,0
1,588628.8,37221.241467812295,20355,1,588628.8,37221.241467812295,4151,0
1,694674.06,41666.64790316619,7651,1,694674.06,41666.64790316619,2370,0
1,377414.06,24637.712387195636,4186,1,377414.06,24637.712387195636,1105,0
1,589169.75,35278.843085870445,9241,1,589169.75,35278.843085870445,1379,0
1,640941.7,41070.72436943456,12373,1,640941.7,41070.72436943456,4513,0
1,936801.9,57462.354308795606,12393,1,936801.9,57462.354308795606,9070,0
1,220505.86,16452.46083798756,1632,1,220505.86,16452.46083798756,262,0
1,619796.2,40781.9926310335,9518,1,619796.2,40781.9926310335,6198,0
1,670107.7,39818.01770800931,8465,1,670107.7,39818.01770800931,4913,0
1,726545.0,48288.25451602328,20193,1,726545.0,48288.25451602328,7824,0
1,581101.4,31686.525025905317,6216,1,581101.4,31686.525025905317,1468,0
1,116508.35,8418.56625419331,278,1,116508.35,8418.56625419331,1136,0
1,627498.06,40524.64992723551,13027,1,627498.06,40524.64992723551,3381,0
1,380448.56,23669.819959429486,9360,1,380448.56,23669.819959429486,1738,0
1,939794.2,59514.75093786686,15348,1,939794.2,59514.75093786686,9548,0
1,870504.8,53237.084976116355,18521,1,870504.8,53237.084976116355,10605,0
1,226880.47,12255.358136685778,2190,1,226880.47,12255.358136685778,324,0
1,412355.44,24277.346593460024,2604,1,412355.44,24277.346593460024,2167,0
1,234441.14,16116.427452102811,1247,1,234441.14,16116.427452102811,332,0
1,225984.4,19066.730870160867,2730,1,225984.4,19066.730870160867,259,0
