feasibleBellman,lengthBellman,timeBellman,solvingTimeBellman,feasibleDijkstra,lengthDijkstra,timeDijkstra,solvingTimeDijkstra,feasibleAStar,lengthAStar,timeAStar,solvingTimeAStar,mode
0,-1,-1,1,0,-1,-1,0,0,-1,-1,0,0
0,-1,-1,9,0,-1,-1,0,0,-1,-1,1,0
1,987.4098,95.73217957305908,7,1,987.4098,95.73217957305908,0,1,987.4098,95.73217957305908,0,0
0,-1,-1,6,0,-1,-1,0,0,-1,-1,6,0
1,1078.1523,154.43200134658815,8,1,1078.1523,154.43200134658815,0,1,1078.1523,154.43200134658815,0,0
1,2163.3901,205.21877257633213,5,1,2163.3901,205.21877257633213,1,1,2163.3901,205.21877257633213,0,0
0,-1,-1,0,0,-1,-1,0,0,-1,-1,0,0
1,2367.8267,308.7935485267639,9,1,2367.8267,308.7935485267639,0,1,2367.8267,308.7935485267639,0,0
0,-1,-1,1,0,-1,-1,0,0,-1,-1,0,0
1,450.47702,49.65763609313965,7,1,450.47702,49.65763609313965,0,1,450.47702,49.65763609313965,0,0
1,1285.8658,192.67623578453063,6,1,1285.8658,192.67623578453063,0,1,1285.8658,192.67623578453063,0,0
0,-1,-1,7,0,-1,-1,0,0,-1,-1,0,0
0,-1,-1,0,0,-1,-1,0,0,-1,-1,0,0
1,273.1524,32.77828691482544,2,1,273.1524,32.77828691482544,0,1,273.1524,32.77828691482544,0,0
1,1742.7633,551.5081642913816,4,1,1742.7633,551.5081642913816,0,1,1742.7633,551.5081642913816,0,0
1,1544.898,515.7474445266724,8,1,1544.898,515.7474445266724,0,1,1544.898,515.7474445266724,0,0
0,-1,-1,0,0,-1,-1,0,0,-1,-1,0,0
1,367.4026,60.19008562088012,2,1,367.4026,60.19008562088012,0,1,367.4026,60.19008562088012,0,0
1,681.47736,109.00103954315186,3,1,681.47736,109.00103954315186,0,1,681.47736,109.00103954315186,0,0
0,-1,-1,0,0,-1,-1,0,0,-1,-1,0,0
1,2087.7444,201.8313157775402,2,1,2087.7444,201.8313157775402,0,1,2087.7444,201.8313157775402,0,0
1,1785.1141,253.38261436271668,3,1,1785.1141,253.38261436271668,0,1,1785.1141,253.38261436271668,0,0
1,397.2299,106.60250500202179,3,1,397.2299,106.60250500202179,0,1,397.2299,106.60250500202179,0,0
0,-1,-1,2,0,-1,-1,0,0,-1,-1,1,0
1,1644.3772,165.26766578292842,2,1,1644.3772,165.26766578292842,0,1,1644.3772,165.26766578292842,0,0
0,-1,-1,2,0,-1,-1,0,0,-1,-1,0,0
1,2770.8442,737.4746321811675,2,1,2770.8442,737.4746321811675,0,1,2770.8442,737.4746321811675,0,0
0,-1,-1,0,0,-1,-1,0,0,-1,-1,0,0
1,1546.8181,335.27427314758296,3,1,1546.8181,335.27427314758296,0,1,1546.8181,335.27427314758296,0,0
1,784.5265,98.67745161437989,3,1,784.5265,98.67745161437989,0,1,784.5265,98.67745161437989,0,0
