feasibleDijkstra,lengthDijkstra,timeDijkstra,solvingTimeDijkstra,feasibleAStar,lengthAStar,timeAStar,solvingTimeAStar,mode
1,11333.835,887.114938147681,1,1,11333.835,887.114938147681,0,0
1,229959.58,12987.814026831671,398,1,229959.58,12987.814026831671,301,0
1,80072.6,6200.974717985292,161,1,80072.6,6200.974717985292,12,0
1,189991.2,11609.328586535741,431,1,189991.2,11609.328586535741,133,0
1,67155.95,6643.363465629994,148,1,67155.95,6643.363465629994,14,0
1,58956.61,3713.672788320692,59,1,58956.61,3713.672788320692,18,0
1,112864.94,9005.590442322444,314,1,112864.94,9005.590442322444,53,0
1,83522.66,6024.781632539857,84,1,83522.66,6024.781632539857,36,0
1,58403.41,5039.024451918193,107,1,58403.41,5039.024451918193,36,0
1,117045.36,9742.208358266756,292,1,117045.36,9742.208358266756,42,0
1,138288.2,7956.26961034258,118,1,138288.2,7956.26961034258,42,0
1,149649.67,9428.307437919748,417,1,149649.67,9428.307437919748,95,0
1,142717.94,11079.292762198993,294,1,142717.94,11079.292762198993,56,0
1,73304.34,6020.900415706087,70,1,73304.34,6020.900415706087,23,0
1,201173.77,11566.92229828911,281,1,201173.77,11566.92229828911,235,0
1,87699.75,5401.107391595568,92,1,87699.75,5401.107391595568,22,0
1,187171.89,13218.81747192609,388,1,187171.89,13218.81747192609,93,0
1,212616.55,15607.04750421798,309,1,212616.55,15607.04750421798,344,0
1,164245.62,11700.852266895112,442,1,164245.62,11700.852266895112,284,0
1,149378.84,9838.550298689432,262,1,149378.84,9838.550298689432,65,0
1,301527.7,20329.478400975266,362,1,301527.7,20329.478400975266,426,0
1,71861.305,4291.991869496808,90,1,71861.305,4291.991869496808,30,0
1,178825.58,10766.948209315622,200,1,178825.58,10766.948209315622,88,0
1,102365.07,6693.081392851693,245,1,102365.07,6693.081392851693,110,0
1,96338.77,8939.692532473837,82,1,96338.77,8939.692532473837,18,0
1,183187.55,13440.365429473068,505,1,183187.55,13440.365429473068,253,0
1,162079.56,8496.567645032072,183,1,162079.56,8496.567645032072,70,0
1,159149.22,9788.744358947988,94,1,159149.22,9788.744358947988,87,0
1,124744.48,7118.211592701004,354,1,124744.48,7118.211592701004,65,0
1,145018.95,9821.039244031788,363,1,145018.95,9821.039244031788,158,0
1,225757.14,15414.482507305824,441,1,225757.14,15414.482507305824,253,0
1,245068.88,16381.238029272825,307,1,245068.88,16381.238029272825,315,0
1,90882.58,6170.043081035003,234,1,90882.58,6170.043081035003,26,0
1,93127.57,6279.295577350885,111,1,93127.57,6279.295577350885,20,0
1,90708.1,6088.17988421304,127,1,90708.1,6088.17988421304,30,0
0,-1,-1,448,0,-1,-1,597,0
1,249438.34,15364.035023963137,318,1,249438.34,15364.035023963137,418,0
1,48335.5,4714.827432660036,45,1,48335.5,4714.827432660036,12,0
1,203145.16,12604.62096313712,466,1,203145.16,12604.62096313712,233,0
0,-1,-1,0,0,-1,-1,0,0
1,85669.73,6662.783708419256,199,1,85669.73,6662.783708419256,56,0
1,135770.12,8273.444207523484,332,1,135770.12,8273.444207523484,159,0
1,200119.4,10511.744943822321,257,1,200119.4,10511.744943822321,135,0
1,291557.8,18080.104277921273,336,1,291557.8,18080.104277921273,482,0
1,23026.592,1908.429284711838,7,1,23026.592,1908.429284711838,3,0
1,241152.9,17525.641841486617,415,1,241152.9,17525.641841486617,282,0
1,112730.63,5793.931242114317,308,1,112730.63,5793.931242114317,120,0
1,163094.34,10883.728490965628,228,1,163094.34,10883.728490965628,82,0
1,273586.6,16832.32635907082,364,1,273586.6,16832.32635907082,546,0
1,15018.376,1247.2821160599844,4,1,15018.376,1247.2821160599844,1,0
