map,feasibleBellman,lengthBellman,timeBellman,solvingTimeBellman,feasibleDijkstra,lengthDijkstra,timeDijkstra,solvingTimeDijkstra,feasibleAStar,lengthAStar,timeAStar,solvingTimeAStar,mode,valid
mp,0,-1,-1,9,0,-1,-1,0,0,-1,-1,0,0,1
mp,1,17440.139,1712.7151712324967,780,1,17440.139,1712.7151712324967,19,1,17440.139,1712.7151712324967,21,0,1
mp,1,5345.9346,986.1574505108424,639,1,5345.9346,986.1574505108424,4,1,5345.9346,986.1574505108424,2,0,1
mp,1,11224.514,1622.9047956488466,605,1,11224.514,1622.9047956488466,10,1,11224.514,1622.9047956488466,6,0,1
mp,0,-1,-1,7,0,-1,-1,0,0,-1,-1,0,0,1
mp,1,6889.7153,1052.4371392164226,428,1,6889.7153,1052.4371392164226,5,1,6889.7153,1052.4371392164226,0,0,1
mp,1,3282.3916,433.7497064552306,334,1,3282.3916,433.7497064552306,2,1,3282.3916,433.7497064552306,0,0,1
mp,1,4939.4976,514.2875647091867,436,1,4939.4976,514.2875647091867,4,1,4939.4976,514.2875647091867,0,0,1
mp,1,6134.8594,539.722646323068,417,1,6134.8594,539.722646323068,4,1,6134.8594,539.722646323068,3,0,1
mp,1,7046.969,739.1132878949305,397,1,7046.969,739.1132878949305,12,1,7046.969,739.1132878949305,4,0,1
mp,1,4233.0474,381.1709939730508,448,1,4233.0474,381.1709939730508,3,1,4233.0474,381.1709939730508,0,0,1
mp,1,8835.3955,1376.1156794295985,374,1,8835.3955,1376.1156794295985,13,1,8835.3955,1376.1156794295985,4,0,1
mp,0,-1,-1,26,0,-1,-1,0,0,-1,-1,0,0,1
mp,1,12585.502,1499.6850765504846,406,1,12585.502,1499.6850765504846,15,1,12585.502,1499.6850765504846,12,0,1
mp,1,11275.109,888.4933158565251,359,1,11275.109,890.0532079387395,14,1,11275.109,890.0532079387395,7,0,1
mp,1,9271.368,1053.753343460083,435,1,9271.368,1053.753343460083,12,1,9271.368,1053.753343460083,4,0,1
mp,1,7385.407,1491.874847133636,360,1,7385.407,1491.874847133636,13,1,7385.407,1491.874847133636,2,0,1
mp,1,12462.845,1390.0087195328306,407,1,12462.845,1390.0087195328306,12,1,12462.845,1390.0087195328306,8,0,1
mp,0,-1,-1,71,0,-1,-1,0,0,-1,-1,0,0,1
mp,1,13690.117,1527.5724384326943,412,1,13690.117,1527.5724384326943,14,1,13690.117,1527.5724384326943,9,0,1
mp,1,6811.805,878.2093790621083,438,1,6811.805,878.2093790621083,4,1,6811.805,878.2093790621083,2,0,1
mp,1,9500.204,1262.0142152775356,425,1,9500.204,1262.0142152775356,14,1,9500.204,1262.0142152775356,4,0,1
mp,1,4919.1035,564.0694974411555,520,1,4919.1035,564.0694974411555,1,1,4919.1035,564.0694974411555,0,0,1
mp,1,3421.6213,833.0299071063996,411,1,3421.6213,833.0299071063996,1,1,3421.6213,833.0299071063996,0,0,1
mp,1,3183.0923,1147.3715785789489,384,1,3183.0923,1147.3715785789489,1,1,3183.0923,1147.3715785789489,0,0,1
mp,1,7856.667,960.7577782287598,337,1,7856.667,960.7577782287598,14,1,7856.667,960.7577782287598,4,0,1
mp,1,2633.198,470.28958095645896,461,1,2633.198,470.28958095645896,0,1,2633.198,470.28958095645896,0,0,1
mp,1,11284.783,1311.7459677178517,741,1,11284.783,1311.7459677178517,8,1,11284.783,1311.7459677178517,4,0,1
mp,1,5962.2046,895.2641078081132,571,1,5962.2046,895.2641078081132,10,1,5962.2046,895.2641078081132,2,0,1
