map,feasibleDijkstra,lengthDijkstra,timeDijkstra,solvingTimeDijkstra,feasibleAStar,lengthAStar,timeAStar,solvingTimeAStar,mode,valid
fr,0,-1,-1,16036657,0,-1,-1,7412648,0,1
fr,1,329106.72,21498.960540934917,2097328750,1,329106.72,21498.960540934917,1795629118,0,1
fr,1,583881.8,34926.21940574824,10241108527,1,583881.8,34926.21940574824,5127906913,0,1
fr,1,508329.38,33530.89374245389,24901281214,1,508329.38,33530.89374245389,2761567443,0,1
fr,1,756634.3,43443.80182357842,18447337180,1,756634.3,43443.80182357842,9779998899,0,1
fr,1,295625.25,23089.609175500867,5626452125,1,295625.25,23089.609175500867,385739415,0,1
fr,1,456113.72,32043.684614430345,4530462961,1,456113.72,32043.684614430345,809376714,0,1
fr,1,280093.03,14663.60924598231,3419792526,1,280093.03,14663.60924598231,597155597,0,1
fr,1,376898.2,26712.13684790998,6224552343,1,376898.2,26712.13684790998,861738752,0,1
fr,1,533853.7,28643.478515548144,4722116039,1,533853.7,28643.478515548144,1644870310,0,1
fr,1,697568.44,41064.751776839665,20231274427,1,697568.44,41064.751776839665,5805737477,0,1
fr,1,297091.94,21765.610703763676,4206262695,1,297091.94,21765.610703763676,597707404,0,1
fr,1,270633.44,14353.018043070653,3347038583,1,270633.44,14353.018043070653,343906909,0,1
fr,1,276300.0,18759.787041952677,3711559345,1,276300.0,18759.787041952677,321671583,0,1
fr,1,578472.25,35141.87558160934,5944762371,1,578472.25,35141.87558160934,1882090217,0,1
fr,1,178726.72,11422.694166273803,1879998718,1,178726.72,11422.694166273803,125565676,0,1
fr,1,105374.516,5733.352622494417,433608898,1,105374.516,5733.352622494417,1193182888,0,1
fr,1,770538.6,46938.0926843235,17164104952,1,770538.6,46938.0926843235,9982585336,0,1
fr,1,775997.75,43644.638008081005,16379741472,1,775997.75,43644.638008081005,9008144890,0,1
fr,1,143402.89,9082.759559457845,1490835231,1,143402.89,9082.759559457845,386849462,0,1
fr,1,260647.72,19151.266035987606,1308949203,1,260647.72,19151.266035987606,1559655836,0,1
fr,1,505162.9,25337.80044174674,20870261979,1,505162.9,25337.80044174674,2900725833,0,1
fr,1,500289.44,28311.718756693226,14614104857,1,500289.44,28311.718756693226,1545554289,0,1
fr,1,759237.3,52020.29623304646,19144500934,1,759237.3,52020.29623304646,9155833128,0,1
fr,1,580839.7,31637.983520096375,8721550369,1,580839.7,31637.983520096375,5047863548,0,1
fr,1,167091.58,14047.733336728434,578738974,1,167091.58,14047.733336728434,310934010,0,1
fr,1,612352.0,42475.01769853178,25084712293,1,612352.0,42475.01769853178,5010056641,0,1
fr,1,309123.7,20974.53850645694,3548823220,1,309123.7,20974.53850645694,1700132859,0,1
fr,1,815956.1,42334.9735915448,16272477230,1,815956.1,42334.9735915448,6489661310,0,1
fr,1,451879.97,26726.228610793583,18992557919,1,451879.97,26726.228610793583,2841034530,0,1
