map,feasibleDijkstra,lengthDijkstra,timeDijkstra,solvingTimeDijkstra,feasibleAStar,lengthAStar,timeAStar,solvingTimeAStar,mode,valid
hg,1,43988.66,4861.999732197896,79581455,1,43988.66,4861.999732197896,64638630,0,1
hg,1,30310.133,2087.132121380533,64679125,1,30310.133,2087.132121380533,19719483,0,1
hg,1,130712.96,6738.396543552364,66893544,1,130712.96,6738.396543552364,56995808,0,1
hg,1,96762.445,3727.247081013495,20639213,1,96762.445,3727.247081013495,11677493,0,1
hg,1,29572.66,2114.023563901628,6779581,1,29572.66,2114.023563901628,4087452,0,1
hg,1,24008.639,2192.985430950983,55922594,1,24008.639,2192.985430950983,3880748,0,1
hg,1,85750.63,5124.438554417985,82289810,1,85750.63,5124.438554417985,104575941,0,1
hg,1,54480.582,4183.175145856512,81549279,1,54480.582,4183.175145856512,15827352,0,1
hg,1,34303.633,2754.006588146481,44376121,1,34303.633,2754.006588146481,9402082,0,1
hg,1,82125.61,4695.180567079241,27853096,1,82125.61,4695.180567079241,23948362,0,1
hg,1,29227.686,2168.3470379568507,105682008,1,29227.686,2168.3470379568507,10050245,0,1
hg,1,41933.438,2439.2935877771984,13875398,1,41933.438,2439.2935877771984,5970639,0,1
hg,1,29645.6,1922.1180665584288,59853883,1,29645.6,1922.1180665584288,10015120,0,1
hg,1,37092.76,2864.7986907670506,80201336,1,37092.76,2864.7986907670506,27726358,0,1
hg,1,42499.145,2194.823601566713,51859237,1,42499.145,2194.823601566713,53411562,0,1
hg,1,40078.566,2867.2263851620814,35691002,1,40078.566,2867.2263851620814,17140844,0,1
hg,1,19655.287,2456.0019590454076,29243562,1,19655.287,2456.0019590454076,13584598,0,1
hg,1,80058.086,5746.706594567494,76844739,1,80058.086,5746.706594567494,13004937,0,1
hg,0,-1,-1,82726009,0,-1,-1,128201414,0,1
hg,1,26350.625,1869.2066770379204,48214792,1,26350.625,1869.2066770379204,11238108,0,1
hg,1,60388.992,2468.936840475581,12120842,1,60388.992,2468.936840475581,3814569,0,1
hg,1,6360.1387,482.7937811876026,13076939,1,6360.1387,482.7937811876026,2426715,0,1
hg,1,11568.269,1800.3595663490296,9025235,1,11568.269,1800.3595663490296,4020233,0,1
hg,1,77589.945,5451.798084814343,77080228,1,77589.945,5451.798084814343,18442872,0,1
hg,1,60492.87,3638.374970330106,57708682,1,60492.87,3638.374970330106,35357687,0,1
hg,1,90403.58,7002.0906007069125,76220705,1,90403.58,7002.0906007069125,51482498,0,1
hg,1,60055.02,5437.331308055054,74398062,1,60055.02,5437.331308055054,37215601,0,1
hg,1,81490.414,5908.994613488877,73406422,1,81490.414,5908.994613488877,62055793,0,1
hg,1,5703.7173,767.1741563472749,2739094,1,5703.7173,767.1741563472749,1234738,0,1
hg,1,63096.89,3083.485285042206,70788835,1,63096.89,3083.485285042206,61141068,0,1
hg,1,42847.01,3187.2064883443268,26709104,1,42847.01,3187.2064883443268,17571550,0,1
hg,1,74352.25,4573.355573310172,77427731,1,74352.25,4573.355573310172,10260905,0,1
hg,1,5356.6724,649.5890465142382,11508151,1,5356.6724,649.5890465142382,3183728,0,1
hg,1,17868.465,1524.7600307001373,27197966,1,17868.465,1524.7600307001373,12191709,0,1
hg,1,125424.73,8486.995991633712,79363909,1,125424.73,8486.995991633712,69431965,0,1
hg,1,107767.42,8438.659680477014,76047320,1,107767.42,8438.659680477014,113898046,0,1
hg,1,15961.674,1504.0271970445099,22681912,1,15961.674,1504.0271970445099,4725252,0,1
hg,1,3800.6477,427.3397402948653,4896747,1,3800.6477,427.3397402948653,1581638,0,1
hg,0,-1,-1,66396,0,-1,-1,47804,0,1
hg,1,17512.227,1647.451274877549,25294066,1,17512.227,1647.451274877549,9746329,0,1
hg,1,13391.474,1246.4621938240864,34542803,1,13391.474,1246.4621938240864,14721750,0,1
hg,1,6145.884,677.3999317959033,14804278,1,6145.884,677.3999317959033,3436366,0,1
hg,1,124264.625,7251.5725980289535,62116977,1,124264.625,7251.5725980289535,24254096,0,1
hg,1,13182.904,2605.8831290923513,21628133,1,13182.904,2605.8831290923513,10416894,0,1
hg,1,92767.96,6111.912306853603,82334338,1,92767.96,6111.912306853603,97193526,0,1
hg,1,33234.43,1804.142273007793,46481637,1,33234.43,1804.142273007793,15025995,0,1
hg,1,19766.62,1375.4677118070595,25641280,1,19766.62,1375.4677118070595,14241166,0,1
hg,1,143363.9,8902.64664253999,61967061,1,143363.9,8902.64664253999,62663688,0,1
hg,1,11553.063,1098.5061384977605,31765565,1,11553.063,1098.5061384977605,3063704,0,1
hg,1,32379.594,2118.9748066237307,60628693,1,32379.594,2118.9748066237307,3391882,0,1
hg,1,102968.01,5356.263561875117,71132891,1,102968.01,5356.263561875117,77048164,0,1
hg,1,13482.56,770.7693066231869,22987656,1,13482.56,770.7693066231869,555427,0,1
hg,1,15111.057,1349.5969800716507,45380235,1,15111.057,1349.5969800716507,6793518,0,1
hg,1,18350.828,1977.4036990053999,30762530,1,18350.828,1977.4036990053999,14253839,0,1
hg,1,28907.332,2233.9431402947566,13925421,1,28907.332,2233.9431402947566,3353881,0,1
hg,1,37748.414,3026.2490907914284,10551978,1,37748.414,3026.2490907914284,2464543,0,1
hg,1,19979.078,1743.7123522193106,25617690,1,19979.078,1743.7123522193106,5542314,0,1
hg,1,4745.6826,649.3137431659698,6868271,1,4745.6826,649.3137431659698,1678983,0,1
