map,feasibleBellman,lengthBellman,timeBellman,solvingTimeBellman,feasibleDijkstra,lengthDijkstra,timeDijkstra,solvingTimeDijkstra,feasibleAStar,lengthAStar,timeAStar,solvingTimeAStar,mode,valid
insa,1,1172.8024,400.93595855712886,9267289,1,1172.8024,400.93595855712886,923043,1,1172.8024,400.93595855712886,411513,0,1
insa,1,2445.4058,535.3528635578155,13658677,1,2445.4058,535.3528635578155,1324026,1,2445.4058,535.3528635578155,1549792,0,1
insa,1,1921.9583,160.47018921661376,13627686,1,1921.9583,160.47018921661376,1066174,1,1921.9583,160.47018921661376,584693,0,1
insa,1,1010.0604,130.91897203445436,10666667,1,1010.0604,130.91897203445436,607592,1,1010.0604,130.91897203445436,275974,0,1
insa,1,2220.8298,610.1135427246093,12391327,1,2220.8298,610.1135427246093,4354658,1,2220.8298,610.1135427246093,1033815,0,1
insa,1,1905.155,187.73262649154668,13087946,1,1905.155,187.73262649154668,423190,1,1905.155,187.73262649154668,419019,0,1
insa,1,1161.0568,139.32680854797363,7226344,1,1161.0568,139.32680854797363,144883,1,1161.0568,139.32680854797363,108051,0,1
insa,1,1073.5847,120.61798994064331,10002901,1,1073.5847,120.61798994064331,263807,1,1073.5847,120.61798994064331,101824,0,1
insa,1,2375.828,579.1005064373015,8236644,1,2375.828,579.1005064373015,448757,1,2375.828,579.1005064373015,645067,0,1
insa,1,845.873,101.50474863052368,5605866,1,845.873,101.50474863052368,155927,1,845.873,101.50474863052368,74880,0,1
insa,0,-1,-1,8704239,0,-1,-1,585568,0,-1,-1,1082951,0,1
insa,0,-1,-1,4782718,0,-1,-1,426445,0,-1,-1,1010524,0,1
insa,0,-1,-1,1832750,0,-1,-1,19751,0,-1,-1,34578,0,1
insa,1,1626.9054,594.4532449150084,2688133,1,1626.9054,594.4532449150084,273908,1,1626.9054,594.4532449150084,151873,0,1
insa,0,-1,-1,747061,0,-1,-1,4079,0,-1,-1,2988,0,1
insa,1,997.7875,99.43013418960572,2435886,1,997.7875,99.43013418960572,142702,1,997.7875,99.43013418960572,137870,0,1
insa,1,1901.4904,158.01408037948605,3608015,1,1901.4904,158.01408037948605,322634,1,1901.4904,158.01408037948605,122852,0,1
insa,1,2284.8918,269.7908050775528,3325540,1,2284.8918,269.7908050775528,446459,1,2284.8918,269.7908050775528,313946,0,1
insa,0,-1,-1,829041,0,-1,-1,13328,0,-1,-1,7439,0,1
insa,0,-1,-1,2780396,0,-1,-1,400788,0,-1,-1,864516,0,1
insa,1,899.3324,103.78742717170715,2764773,1,899.3324,103.78742717170715,135669,1,899.3324,103.78742717170715,132265,0,1
insa,0,-1,-1,660701,0,-1,-1,12888,0,-1,-1,11956,0,1
insa,1,3222.8484,431.8028354988099,3889924,1,3222.8484,431.8028354988099,522925,1,3222.8484,431.8028354988099,206632,0,1
insa,0,-1,-1,433130,0,-1,-1,23577,0,-1,-1,21829,0,1
insa,1,2074.517,210.373432674408,4176120,1,2074.517,210.373432674408,622327,1,2074.517,210.373432674408,325577,0,1
insa,0,-1,-1,2936997,0,-1,-1,571871,0,-1,-1,1084356,0,1
insa,1,2310.9106,368.35036134338384,4265071,1,2310.9106,368.35036134338384,559619,1,2310.9106,368.35036134338384,848759,0,1
insa,1,1571.6592,370.71372129821776,4387417,1,1571.6592,370.71372129821776,64178,1,1571.6592,370.71372129821776,48349,0,1
insa,1,1158.1942,180.7512125015259,2435178,1,1158.1942,180.7512125015259,232465,1,1158.1942,180.7512125015259,86208,0,1
insa,1,2214.3867,464.33728261756903,2726758,1,2214.3867,464.33728261756903,591213,1,2214.3867,464.33728261756903,681939,0,1
insa,1,855.1633,139.79489165496827,3554595,1,855.1633,139.79489165496827,224208,1,855.1633,139.79489165496827,125216,0,1
insa,1,1655.7203,297.33924577331544,3957026,1,1655.7203,297.33924577331544,415196,1,1655.7203,297.33924577331544,218588,0,1
insa,1,2332.3867,478.1060060005188,3138987,1,2332.3867,478.1060060005188,584954,1,2332.3867,478.1060060005188,795698,0,1
insa,1,1208.3113,382.2683549880981,3223507,1,1208.3113,382.2683549880981,400212,1,1208.3113,382.2683549880981,213330,0,1
insa,1,2048.731,170.5844349517822,2598054,1,2048.731,170.5844349517822,119524,1,2048.731,170.5844349517822,63368,0,1
insa,0,-1,-1,2126715,0,-1,-1,405923,0,-1,-1,813971,0,1
insa,1,1624.5007,656.100271911621,2122927,1,1624.5007,656.100271911621,310763,1,1624.5007,656.100271911621,203412,0,1
insa,1,2301.818,429.5526465568543,3136378,1,2301.818,429.5526465568543,559391,1,2301.818,429.5526465568543,608775,0,1
insa,0,-1,-1,2228042,0,-1,-1,479093,0,-1,-1,843880,0,1
