map,feasibleDijkstra,lengthDijkstra,timeDijkstra,solvingTimeDijkstra,feasibleAStar,lengthAStar,timeAStar,solvingTimeAStar,mode,valid
mp,1,40153.297,3239.3299505788264,27966172,1,40153.297,3239.3299505788264,8324995,0,1
mp,1,43798.113,4427.654004939486,32691145,1,43798.113,4427.654004939486,10123337,0,1
mp,1,81132.9,6284.762535158293,100028910,1,81132.9,6284.762535158293,13024842,0,1
mp,1,126595.31,7608.660286200659,154728365,1,126595.31,7608.660286200659,59885814,0,1
mp,1,193685.81,13480.03625801754,280788288,1,193685.81,13536.874377745627,298803795,0,1
mp,1,53355.297,3966.3496107259475,43860545,1,53355.297,3966.3496107259475,13037456,0,1
mp,1,109887.984,8686.201311862815,207079402,1,109887.984,8686.201311862815,24721148,0,1
mp,1,263979.2,21195.146313940342,439974797,1,263979.2,21195.146313940342,377982585,0,1
mp,1,211824.62,11923.973483816695,249186977,1,211824.62,11923.973483816695,278602723,0,1
mp,1,188243.36,10364.348474369646,429425901,1,188243.36,10364.348474369646,249100126,0,1
mp,1,61113.25,3603.4552926454535,113171687,1,61113.25,3603.4552926454535,42926128,0,1
mp,1,81379.03,6410.506047607747,183387391,1,81379.03,6410.506047607747,97873109,0,1
mp,1,274881.53,17337.12039052338,341598104,1,274881.53,17337.12039052338,651203967,0,1
mp,1,85375.85,4199.999709462575,125395039,1,85375.85,4199.999709462575,59614472,0,1
mp,1,139725.0,9879.077383463993,121334888,1,139725.0,9879.077383463993,27630984,0,1
mp,1,296617.6,19560.13762181203,326606665,1,296617.6,19560.13762181203,449806001,0,1
mp,1,224825.44,18133.151193043024,385996048,1,224825.44,18133.151193043024,268830177,0,1
mp,1,248587.53,14841.678182733034,360832963,1,248587.53,14841.678182733034,180849272,0,1
mp,1,160917.2,9261.482886930193,519096316,1,160917.2,9261.482886930193,130517259,0,1
mp,1,122159.03,8421.249447201038,323450623,1,122159.03,8421.249447201038,137760108,0,1
mp,1,108020.266,6717.968933791568,245683036,1,108020.266,6717.968933791568,19460771,0,1
mp,1,96894.55,6087.078174849087,203290079,1,96894.55,6087.078174849087,76813776,0,1
mp,1,29305.365,2556.222866368838,57618158,1,29305.365,2556.222866368838,6030701,0,1
mp,1,65570.86,3072.555756450791,98441382,1,65570.86,3072.555756450791,9303356,0,1
mp,1,71287.12,4498.37742337581,124301881,1,71287.12,4498.37742337581,58785068,0,1
mp,1,223376.92,16899.897987816646,359339537,1,223376.92,16899.897987816646,216311992,0,1
mp,1,180412.05,11370.876611668498,323920588,1,180412.05,11370.876611668498,134681293,0,1
mp,1,174037.11,11993.880642543247,273071900,1,174037.11,11993.880642543247,173764542,0,1
mp,1,136588.4,8507.105948480337,281080668,1,136588.4,8507.105948480337,49471975,0,1
mp,1,111516.35,9985.056200357962,308393107,1,111516.35,9985.056200357962,41276507,0,1
mp,1,254747.81,14953.382692280135,326984220,1,254747.81,14953.382692280135,349755777,0,1
mp,1,51334.145,4247.203049083577,12627727,1,51334.145,4247.203049083577,4856834,0,1
mp,1,229100.19,15984.715729214831,335353194,1,229100.19,15984.715729214831,183371225,0,1
mp,1,39004.824,2886.8226463041306,17338595,1,39004.824,2886.8226463041306,5541790,0,1
mp,1,79921.37,6214.657273066657,174161012,1,79921.37,6214.657273066657,24089616,0,1
mp,1,59589.96,4148.599823834491,161686431,1,59589.96,4148.599823834491,13098969,0,1
mp,1,130456.77,9126.663705889692,317995771,1,130456.77,9126.663705889692,47080884,0,1
mp,1,145686.08,11169.572792791563,337681616,1,145686.08,11169.572792791563,50140412,0,1
mp,1,190753.11,12196.072708705806,254825814,1,190753.11,12196.072708705806,131798098,0,1
mp,1,122848.664,8170.058761691361,155814384,1,122848.664,8170.058761691361,39454299,0,1
mp,1,183887.23,11626.079201599261,396391193,1,183887.23,11626.079201599261,86617306,0,1
mp,1,114574.06,10559.686426903594,164126846,1,114574.06,10559.686426903594,29285042,0,1
mp,1,78227.67,6479.40162551846,150821944,1,78227.67,6479.40162551846,51554898,0,1
mp,1,2709.1433,312.2848304500581,2968712,1,2709.1433,312.2848304500581,739504,0,1
mp,1,25971.926,1981.516560071946,5834344,1,25971.926,1981.516560071946,1105758,0,1
mp,1,74646.65,6440.576580149375,144857816,1,74646.65,6440.576580149375,15636346,0,1
mp,1,144199.81,9892.536916451236,218061864,1,144199.81,9892.536916451236,115696492,0,1
mp,1,187593.62,12849.91015251367,236184012,1,187593.62,12849.91015251367,130047156,0,1
mp,1,93314.28,8825.822808091434,158759594,1,93314.28,8825.822808091434,22359117,0,1
mp,1,84966.28,4934.734169889228,192989334,1,84966.28,4934.734169889228,120532588,0,1
mp,1,146833.75,9468.317312028568,477715742,1,146833.75,9468.317312028568,139182663,0,1
mp,1,28905.096,1684.3493349827354,16014937,1,28905.096,1684.3493349827354,2988470,0,1
mp,1,38862.78,4188.373381285532,67339374,1,38862.78,4188.373381285532,2577556,0,1
mp,1,73471.99,5996.64948713221,77917718,1,73471.99,5996.64948713221,14731285,0,1
mp,1,79604.95,6438.462715423584,192016557,1,79604.95,6438.462715423584,22539580,0,1
mp,1,175263.72,7430.812384372203,159162092,1,175263.72,7430.812384372203,77134667,0,1
mp,1,80864.48,4075.692973524338,166834349,1,80864.48,4075.692973524338,31604662,0,1
mp,1,128998.664,10771.10510290104,125611433,1,128998.664,10771.10510290104,67946789,0,1
mp,1,122109.02,8635.116230043366,348200008,1,122109.02,8635.116230043366,57449106,0,1
mp,1,29321.266,3017.231887842175,46065980,1,29321.266,3017.231887842175,16758807,0,1
