map,feasibleBellman,lengthBellman,timeBellman,solvingTimeBellman,feasibleDijkstra,lengthDijkstra,timeDijkstra,solvingTimeDijkstra,feasibleAStar,lengthAStar,timeAStar,solvingTimeAStar,mode,valid
toulouse,1,8649.028,1343.6881534816207,687824906,1,8649.028,1343.6881534816207,5471617,1,8649.028,1343.6881534816207,3923614,0,1
toulouse,1,13220.379,1310.2203834633144,539572640,1,13220.379,1293.7718624214447,13684155,1,13220.379,1293.7718624214447,12568071,0,1
toulouse,1,10565.158,916.8544205636979,466413692,1,10565.158,916.8544205636979,14206894,1,10565.158,916.8544205636979,6926904,0,1
toulouse,1,5894.617,722.1923645828792,479113375,1,5894.617,722.1923645828792,3705017,1,5894.617,722.1923645828792,2256997,0,1
toulouse,1,11649.562,1351.1468252677914,489672427,1,11649.562,1351.1468252677914,10916687,1,11649.562,1351.1468252677914,7761384,0,1
toulouse,1,7268.005,1177.2646351276462,481738857,1,7268.005,1177.2646351276462,6258120,1,7268.005,1177.2646351276462,2881027,0,1
toulouse,1,552.8704,38.41634132930211,472797994,1,552.8704,38.41634132930211,67421,1,552.8704,38.41634132930211,81625,0,1
toulouse,1,8802.826,1496.5200235087539,369727581,1,8802.826,1496.5200235087539,15007797,1,8802.826,1496.5200235087539,6317675,0,1
toulouse,1,8657.703,1185.2803387507026,492651850,1,8657.703,1185.2803387507026,7241544,1,8657.703,1185.2803387507026,4281983,0,1
toulouse,1,9520.936,1258.6013703832627,377092999,1,9520.936,1258.6013703832627,15281205,1,9520.936,1258.6013703832627,5349809,0,1
toulouse,1,3961.372,423.08457950837266,416561052,1,3961.372,423.08457950837266,2647803,1,3961.372,423.08457950837266,1645006,0,1
toulouse,1,3083.4216,532.7136117248534,411647298,1,3083.4216,532.7136117248534,938973,1,3083.4216,532.7136117248534,687402,0,1
toulouse,1,9271.252,2563.0402660568766,470497141,1,9271.252,2563.0402660568766,9281414,1,9271.252,2563.0402660568766,4219247,0,1
toulouse,0,-1,-1,376392650,0,-1,-1,15983114,0,-1,-1,26489073,0,1
toulouse,1,8076.578,952.2352358407976,404050916,1,8076.578,952.2352358407976,11227155,1,8076.578,952.2352358407976,4525944,0,1
toulouse,1,10917.436,1425.3815197416034,399412014,1,10917.436,1425.3815197416034,14640042,1,10917.436,1425.3815197416034,9870427,0,1
toulouse,1,4142.6797,670.7374766750333,355599196,1,4142.6797,670.7374766750333,4521792,1,4142.6797,670.7374766750333,924841,0,1
toulouse,1,3242.0908,1106.831910747528,398013421,1,3242.0908,1106.831910747528,3229180,1,3242.0908,1106.831910747528,1194209,0,1
toulouse,1,3931.3447,423.87185882568355,432984664,1,3931.3447,423.87185882568355,1058868,1,3931.3447,423.87185882568355,209768,0,1
toulouse,1,3344.9607,411.2060710675377,410808016,1,3344.9607,411.2060710675377,1716394,1,3344.9607,411.2060710675377,210749,0,1
toulouse,1,6735.313,1125.4348455137533,423322945,1,6735.313,1125.4348455137533,7204879,1,6735.313,1125.4348455137533,2591725,0,1
toulouse,1,10985.286,1657.0976929581518,500414939,1,10985.286,1657.0976929581518,9860457,1,10985.286,1657.0976929581518,5637382,0,1
toulouse,1,7935.9463,1054.2442895898819,625667640,1,7935.9463,1054.2442895898819,3651409,1,7935.9463,1054.2442895898819,1996036,0,1
toulouse,1,7197.325,882.9352128001624,399047402,1,7197.325,882.9352128001624,10099411,1,7197.325,882.9352128001624,2416814,0,1
toulouse,1,9345.57,1257.3784221418925,410685080,1,9345.57,1257.3784221418925,11376441,1,9345.57,1257.3784221418925,7021859,0,1
toulouse,1,6707.2583,1241.7582781791689,356293712,1,6707.2583,1241.7582781791689,7615668,1,6707.2583,1241.7582781791689,1508061,0,1
toulouse,1,14913.967,1061.8524905800139,708718627,1,14913.967,1061.8524905800139,12795305,1,14913.967,1061.8524905800139,6024736,0,1
toulouse,1,14921.746,1242.5515028419488,548404590,1,14921.746,1242.5515028419488,15233539,1,14921.746,1242.5515028419488,15781748,0,1
toulouse,1,10574.562,1879.3446065964006,464425251,1,10574.562,1879.3446065964006,10088751,1,10574.562,1879.3446065964006,6155619,0,1
toulouse,1,13197.293,1418.7946274176995,594634580,1,13197.293,1418.7946274176995,14487797,1,13197.293,1418.7946274176995,8156215,0,1
toulouse,1,10332.217,1815.2995439258293,442451748,1,10332.217,1815.2995439258293,10315992,1,10332.217,1815.2995439258293,8840996,0,1
toulouse,1,10898.508,1628.6252400125766,373010501,1,10898.508,1628.6252400125766,15878140,1,10898.508,1628.6252400125766,8127828,0,1
toulouse,1,11686.576,900.1226765084947,442006743,1,11686.576,900.1226765084947,13238522,1,11686.576,900.1226765084947,7909276,0,1
toulouse,1,5210.4497,587.1169940471648,522365337,1,5210.4497,587.1169940471648,2231983,1,5210.4497,587.1169940471648,999000,0,1
toulouse,1,6553.877,1208.6629765319826,532816093,1,6553.877,1208.6629765319826,4406241,1,6553.877,1208.6629765319826,1206707,0,1
toulouse,1,2510.8027,209.40635702705382,362091591,1,2510.8027,209.40635702705382,1446985,1,2510.8027,209.40635702705382,797131,0,1
toulouse,0,-1,-1,401091437,0,-1,-1,16721672,0,-1,-1,29009389,0,1
toulouse,1,10525.577,1362.6034902711604,376963048,1,10525.577,1362.6034902711604,17556025,1,10525.577,1362.6034902711604,5524378,0,1
toulouse,1,6487.5737,1158.4261751223974,445268498,1,6487.5737,1158.4261751223974,9913935,1,6487.5737,1158.4261751223974,3183023,0,1
toulouse,0,-1,-1,463341297,0,-1,-1,15498037,0,-1,-1,30189843,0,1
toulouse,1,7717.1187,2056.3831198768607,407221671,1,7717.1187,2056.3831198768607,4774905,1,7717.1187,2056.3831198768607,3015023,0,1
toulouse,1,6238.487,483.8530250538417,460408024,1,6238.487,483.8530250538417,5945931,1,6238.487,483.8530250538417,1706245,0,1
toulouse,1,5318.705,559.5516793928148,493719324,1,5318.705,559.5516793928148,4422575,1,5318.705,559.5516793928148,1837589,0,1
toulouse,1,5954.5596,1168.3965102383745,417546086,1,5954.5596,1168.3965102383745,5545675,1,5954.5596,1168.3965102383745,2920892,0,1
toulouse,1,6782.804,623.2576374750138,342398716,1,6782.804,623.2576374750138,11083696,1,6782.804,623.2576374750138,2772989,0,1
toulouse,1,3315.0642,633.0363120231628,333067867,1,3315.0642,633.0363120231628,2733620,1,3315.0642,633.0363120231628,587566,0,1
toulouse,1,8997.313,833.913432227407,453066454,1,8997.313,833.913432227407,8143583,1,8997.313,833.913432227407,3852326,0,1
toulouse,1,3077.4,730.1487746429442,423312167,1,3077.4,730.1487746429442,2064835,1,3077.4,730.1487746429442,455342,0,1
toulouse,1,10625.561,1243.465618677139,508485527,1,10625.561,1243.465618677139,6497975,1,10625.561,1243.465618677139,4959637,0,1
toulouse,0,-1,-1,11402465,0,-1,-1,16434,0,-1,-1,19120,0,1
