feasibleDijkstra,lengthDijkstra,timeDijkstra,solvingTimeDijkstra,feasibleAStar,lengthAStar,timeAStar,solvingTimeAStar,mode
1,17484.273,2656.952343586106,44,1,17484.273,2656.952343586106,12,0
1,13453.114,886.0679375193456,10,1,13453.114,886.0679375193456,4,0
0,-1,-1,0,0,-1,-1,0,0
1,27667.453,2267.840127023016,44,1,27667.453,2267.840127023016,21,0
1,20929.53,2792.3074549959733,29,1,20929.53,2792.3074549959733,15,0
1,26985.729,2064.685577179499,6,1,26985.729,2064.685577179499,1,0
1,23404.76,3262.402311084611,42,1,23404.76,3262.402311084611,15,0
1,12289.92,1226.1996416865754,12,1,12289.92,1226.1996416865754,6,0
1,21101.535,1296.1612571509227,48,1,21101.535,1296.1612571509227,4,0
1,23449.947,2230.7404466281614,59,1,23449.947,2230.7404466281614,28,0
1,32818.72,3060.4896487073893,64,1,32818.72,3060.4896487073893,5,0
1,52256.023,3474.9272271120894,114,1,52256.023,3474.9272271120894,9,0
1,25882.283,2720.042192708969,62,1,25882.283,2720.042192708969,18,0
1,83863.69,6658.649938053543,25,1,83863.69,6658.649938053543,14,0
1,34715.504,2329.6032142455238,58,1,34715.504,2329.6032142455238,26,0
1,21183.162,1428.0379938885822,9,1,21183.162,1428.0379938885822,2,0
1,29982.33,2869.3057896495575,41,1,29982.33,2869.3057896495575,46,0
1,63361.99,4516.383173948017,13,1,63361.99,4516.383173948017,5,0
1,21376.727,2859.553354218618,51,1,21376.727,2859.553354218618,21,0
1,45116.223,3100.8318334350556,74,1,45116.223,3100.8318334350556,64,0
1,13419.875,1911.602374643325,25,1,13419.875,1911.602374643325,10,0
1,2997.4275,973.8903888359076,2,1,2997.4275,973.8903888359076,1,0
1,60900.4,2642.3948363706722,16,1,60900.4,2642.3948363706722,4,0
1,72816.33,6557.212727081574,93,1,72816.33,6557.212727081574,30,0
1,7363.264,1009.6604434975216,7,1,7363.264,1009.6604434975216,1,0
1,34556.47,2649.6110606710577,71,1,34556.47,2649.6110606710577,24,0
1,7028.993,1050.2653180646898,9,1,7028.993,1050.2653180646898,2,0
1,121657.42,7277.435346545819,18,1,121657.42,7277.435346545819,23,0
1,19765.13,2627.988870930674,46,1,19765.13,2627.988870930674,23,0
1,23369.734,3207.445569480349,26,1,23369.734,3207.445569480349,14,0
1,47331.777,2947.70436494954,68,1,47331.777,2947.70436494954,22,0
1,23046.68,2383.32481033598,59,1,23046.68,2383.32481033598,24,0
1,37681.656,2715.8599291815067,72,1,37681.656,2715.8599291815067,45,0
1,45035.496,3825.0490793734934,68,1,45035.496,3825.0490793734934,49,0
1,47327.133,4001.9507513769704,49,1,47327.133,4001.9507513769704,9,0
1,35287.85,3152.1930178887515,49,1,35287.85,3152.1930178887515,24,0
1,7256.762,1056.2332180919645,16,1,7256.762,1056.2332180919645,6,0
1,3431.2148,263.3180786104202,0,1,3431.2148,263.3180786104202,0,0
1,62910.574,4315.023571750998,74,1,62910.574,4315.023571750998,47,0
1,21498.695,3194.4241808379056,50,1,21498.695,3194.4241808379056,22,0
1,40658.566,3308.911764708234,44,1,40658.566,3308.911764708234,20,0
1,30323.941,2956.279942568098,42,1,30323.941,2956.279942568098,1,0
1,91878.66,5340.025298875502,80,1,91878.66,5340.025298875502,93,0
0,-1,-1,0,0,-1,-1,0,0
1,39247.637,3031.0151032292474,67,1,39247.637,3031.0151032292474,15,0
1,38376.17,2525.8377989608216,9,1,38376.17,2525.8377989608216,4,0
1,30935.639,2628.553617446489,67,1,30935.639,2628.553617446489,25,0
1,64934.156,5483.909842754089,73,1,64934.156,5483.909842754089,60,0
1,35648.914,3898.9465646351723,61,1,35648.914,3898.9465646351723,45,0
1,21591.873,849.886692252968,9,1,21591.873,849.886692252968,0,0
1,50448.254,4136.77898069055,74,1,50448.254,4136.77898069055,72,0
0,-1,-1,0,0,-1,-1,0,0
1,28948.244,2123.9970823432363,56,1,28948.244,2123.9970823432363,25,0
1,61394.656,4193.574088852197,42,1,61394.656,4193.574088852197,42,0
1,28528.822,2581.9276020069133,22,1,28528.822,2581.9276020069133,10,0
1,17606.191,1298.3601535511582,36,1,17606.191,1298.3601535511582,12,0
1,26745.62,2204.7677092830118,40,1,26745.62,2204.7677092830118,14,0
1,26964.982,2024.9901987334665,5,1,26964.982,2024.9901987334665,2,0
1,50898.406,3712.606291016972,60,1,50898.406,3712.606291016972,48,0
1,64307.855,4701.623757194242,30,1,64307.855,4701.623757194242,7,0
1,11093.379,1560.1896983462748,19,1,11093.379,1560.1896983462748,8,0
1,50020.72,3530.218775653628,61,1,50020.72,3530.218775653628,3,0
1,23058.379,2052.283788193975,39,1,23058.379,2052.283788193975,7,0
1,63350.63,2922.904960740486,20,1,63350.63,2922.904960740486,9,0
1,69929.945,5501.404014559608,73,1,69929.945,5501.404014559608,88,0
1,19433.701,1904.3558354212887,38,1,19433.701,1904.3558354212887,16,0
1,18526.613,1716.1941899414066,66,1,18526.613,1716.1941899414066,14,0
1,22894.629,2457.370497206143,48,1,22894.629,2457.370497206143,15,0
1,9967.399,2032.490523676462,19,1,9967.399,2032.490523676462,7,0
1,41974.4,3125.1323841316894,69,1,41974.4,3125.1323841316894,44,0
1,32422.545,2469.9658966034476,58,1,32422.545,2469.9658966034476,4,0
1,40021.516,3946.4063105850246,9,1,40021.516,3946.4063105850246,8,0
1,35739.082,2767.081932142801,73,1,35739.082,2767.081932142801,47,0
1,62292.426,5414.861596666064,85,1,62292.426,5414.861596666064,59,0
1,154321.8,8200.795943076393,72,1,154321.8,8200.795943076393,97,0
1,27483.826,2762.514046692189,54,1,27483.826,2762.514046692189,37,0
1,32898.42,2609.9443158472727,66,1,32898.42,2609.9443158472727,51,0
1,102296.99,5506.0279890833,82,1,102296.99,5506.0279890833,87,0
1,25477.586,1858.7674672052992,54,1,25477.586,1858.7674672052992,27,0
1,31580.9,2875.618241659436,29,1,31580.9,2875.618241659436,14,0
1,22779.21,2201.210631964139,51,1,22779.21,2201.210631964139,5,0
1,16886.771,1184.7985018555778,3,1,16886.771,1184.7985018555778,0,0
1,16601.295,1461.7332711112153,38,1,16601.295,1461.7332711112153,5,0
1,11812.565,939.0442245359421,25,1,11812.565,939.0442245359421,12,0
0,-1,-1,0,0,-1,-1,0,0
1,20865.719,2056.02490659305,36,1,20865.719,2056.02490659305,16,0
1,56965.254,3760.5450454485745,60,1,56965.254,3760.5450454485745,6,0
1,8681.637,1007.1216634205408,9,1,8681.637,1007.1216634205408,1,0
1,48374.062,3940.6596096655862,71,1,48374.062,3940.6596096655862,48,0
1,13700.194,1439.870547217641,37,1,13700.194,1439.870547217641,10,0
1,12118.492,1295.9046911340436,30,1,12118.492,1295.9046911340436,9,0
1,42471.48,3136.7831163984015,71,1,42471.48,3136.7831163984015,40,0
1,106176.88,5537.681946101582,38,1,106176.88,5537.681946101582,28,0
1,84999.91,7056.004565895899,68,1,84999.91,7056.004565895899,22,0
1,89033.336,6517.472064775606,78,1,89033.336,6517.472064775606,27,0
1,50066.06,3155.4865573110574,75,1,50066.06,3155.4865573110574,5,0
1,50777.34,4277.760233308789,62,1,50777.34,4277.760233308789,51,0
1,46722.125,4124.548761861258,69,1,46722.125,4124.548761861258,75,0
1,130225.62,8173.620375153827,50,1,130225.62,8173.620375153827,55,0
1,10735.598,910.5752496509549,1,1,10735.598,910.5752496509549,0,0
