feasibleBellman,lengthBellman,timeBellman,solvingTimeBellman,feasibleDijkstra,lengthDijkstra,timeDijkstra,solvingTimeDijkstra,feasibleAStar,lengthAStar,timeAStar,solvingTimeAStar
1,707.17444,215.4859356880188,17,1,707.17444,215.4859356880188,4,1,707.17444,215.4859356880188,2
0,-1,-1,0,0,-1,-1,0,0,-1,-1,0
1,864.70087,169.0749715805054,12,1,864.70087,169.0749715805054,0,1,864.70087,169.0749715805054,0
1,1561.2062,341.7814625930786,5,1,1561.2062,341.7814625930786,1,1,1561.2062,341.7814625930786,0
1,1525.8036,200.6725643348694,9,1,1525.8036,200.6725643348694,0,1,1525.8036,200.6725643348694,0
1,3126.5295,696.6826361389161,17,1,3126.5295,696.6826361389161,3,1,3126.5295,696.6826361389161,2
1,1415.9606,185.55193017196652,5,1,1415.9606,185.55193017196652,0,1,1415.9606,185.55193017196652,1
1,981.20245,122.13260033226013,2,1,981.20245,122.13260033226013,1,1,981.20245,122.13260033226013,1
0,-1,-1,3,0,-1,-1,2,0,-1,-1,2
1,1136.1046,127.25476100921631,2,1,1136.1046,127.25476100921631,1,1,1136.1046,127.25476100921631,1
