feasibleBellman,lengthBellman,timeBellman,solvingTimeBellman,feasibleDijkstra,lengthDijkstra,timeDijkstra,solvingTimeDijkstra,feasibleAStar,lengthAStar,timeAStar,solvingTimeAStar,mode
0,-1,-1,1,0,-1,-1,0,0,-1,-1,0,0
1,795.5096,326.749427433014,8,1,795.5096,326.749427433014,0,1,795.5096,326.749427433014,0,0
1,1860.7251,303.5371040325165,10,1,1860.7251,303.5371040325165,0,1,1860.7251,303.5371040325165,0,0
0,-1,-1,0,0,-1,-1,0,0,-1,-1,0,0
1,1721.3613,401.22447747230524,8,1,1721.3613,401.22447747230524,0,1,1721.3613,401.22447747230524,0,0
1,1589.7421,524.7004153690337,9,1,1589.7421,524.7004153690337,0,1,1589.7421,524.7004153690337,0,0
1,1456.7793,301.4723188591004,6,1,1456.7793,301.4723188591004,0,1,1456.7793,301.4723188591004,0,0
1,2072.2795,506.66544918823246,10,1,2072.2795,506.66544918823246,1,1,2072.2795,506.66544918823246,0,0
1,1416.0239,243.11666811847687,14,1,1416.0239,243.11666811847687,0,1,1416.0239,243.11666811847687,0,0
1,1778.6344,437.45000140571585,4,1,1778.6344,437.45000140571585,0,1,1778.6344,437.45000140571585,0,0
0,-1,-1,0,0,-1,-1,0,0,-1,-1,0,0
1,389.4891,50.66361448287964,3,1,389.4891,50.66361448287964,0,1,389.4891,50.66361448287964,0,0
1,2476.3354,318.20986372089385,5,1,2476.3354,318.20986372089385,0,1,2476.3354,318.20986372089385,0,0
0,-1,-1,4,0,-1,-1,0,0,-1,-1,1,0
0,-1,-1,4,0,-1,-1,0,0,-1,-1,1,0
0,-1,-1,10,0,-1,-1,0,0,-1,-1,0,0
1,1201.0022,172.7253047904968,2,1,1201.0022,172.7253047904968,0,1,1201.0022,172.7253047904968,0,0
1,845.8857,165.616675655365,3,1,845.8857,165.616675655365,0,1,845.8857,165.616675655365,0,0
1,1278.9232,149.28720083427427,4,1,1278.9232,149.28720083427427,0,1,1278.9232,149.28720083427427,0,0
1,1709.2303,202.13580080795288,5,1,1709.2303,202.13580080795288,0,1,1709.2303,202.13580080795288,0,0
1,1987.3936,313.9873069503306,2,1,1987.3936,313.9873069503306,0,1,1987.3936,313.9873069503306,0,0
1,1740.0171,246.459291715622,2,1,1740.0171,246.459291715622,0,1,1740.0171,246.459291715622,0,0
1,686.0785,192.627300453186,3,1,686.0785,192.627300453186,0,1,686.0785,192.627300453186,0,0
0,-1,-1,0,0,-1,-1,0,0,-1,-1,0,0
1,2173.532,414.0712377669811,4,1,2173.532,414.0712377669811,0,1,2173.532,414.0712377669811,0,0
1,1957.9932,364.2469461708069,4,1,1957.9932,364.2469461708069,0,1,1957.9932,364.2469461708069,0,0
1,800.61975,72.8095374069214,5,1,800.61975,72.8095374069214,0,1,800.61975,72.8095374069214,0,0
0,-1,-1,4,0,-1,-1,0,0,-1,-1,0,0
1,714.34827,118.85864274215697,2,1,714.34827,118.85864274215697,0,1,714.34827,118.85864274215697,0,0
1,1062.2257,118.41191362380982,2,1,1062.2257,118.41191362380982,0,1,1062.2257,118.41191362380982,0,0
feasibleBellman,lengthBellman,timeBellman,solvingTimeBellman,feasibleDijkstra,lengthDijkstra,timeDijkstra,solvingTimeDijkstra,feasibleAStar,lengthAStar,timeAStar,solvingTimeAStar,mode
0,-1,-1,14,0,-1,-1,0,0,-1,-1,0,3
1,1354.3942,193.89148854446415,8,1,1354.3942,193.89148854446415,0,1,1354.3942,193.89148854446415,0,3
0,-1,-1,6,0,-1,-1,0,0,-1,-1,0,3
1,1799.7487,312.2946069717408,7,1,1799.7487,312.2946069717408,0,1,1799.7487,312.2946069717408,1,3
0,-1,-1,1,0,-1,-1,0,0,-1,-1,0,3
0,-1,-1,0,0,-1,-1,0,0,-1,-1,0,3
1,611.3475,87.6540310192108,6,1,611.3475,87.6540310192108,0,1,611.3475,87.6540310192108,0,3
1,903.30566,164.6213243522644,5,1,903.30566,164.6213243522644,0,1,903.30566,164.6213243522644,0,3
1,1465.9548,191.0237749099731,5,1,1465.9548,191.0237749099731,0,1,1465.9548,191.0237749099731,0,3
0,-1,-1,7,0,-1,-1,0,0,-1,-1,1,3
1,2306.0586,380.7906603240968,6,1,2306.0586,380.7906603240968,0,1,2306.0586,380.7906603240968,0,3
0,-1,-1,1,0,-1,-1,0,0,-1,-1,0,3
0,-1,-1,0,0,-1,-1,0,0,-1,-1,0,3
1,1435.4473,172.61047531127932,4,1,1435.4473,172.61047531127932,0,1,1435.4473,172.61047531127932,0,3
0,-1,-1,0,0,-1,-1,0,0,-1,-1,0,3
1,1787.3162,188.53483094501496,4,1,1787.3162,188.53483094501496,0,1,1787.3162,188.53483094501496,0,3
1,2339.3352,427.5952986602783,3,1,2339.3352,427.5952986602783,0,1,2339.3352,427.5952986602783,1,3
0,-1,-1,0,0,-1,-1,0,0,-1,-1,0,3
0,-1,-1,1,0,-1,-1,0,0,-1,-1,0,3
0,-1,-1,0,0,-1,-1,0,0,-1,-1,0,3
