feasibleDijkstra,lengthDijkstra,timeDijkstra,solvingTimeDijkstra,feasibleAStar,lengthAStar,timeAStar,solvingTimeAStar,mode
1,58117.0,5140.78167773165,141,1,58117.0,5140.78167773165,27,0
1,27517.81,2141.586926861899,95,1,27517.81,2141.586926861899,41,0
0,-1,-1,0,0,-1,-1,0,0
1,136531.97,8357.391305022667,436,1,136531.97,8357.391305022667,101,0
1,111180.62,8617.4258787543,306,1,111180.62,8617.4258787543,151,0
1,91303.83,6738.306702360053,104,1,91303.83,6738.306702360053,38,0
1,171164.77,14236.321723737863,259,1,171164.77,14236.321723737863,48,0
1,113263.56,7296.69500748607,290,1,113263.56,7296.69500748607,34,0
1,66587.11,5437.783847815924,130,1,66587.11,5437.783847815924,87,0
1,159403.3,8334.249000217575,168,1,159403.3,8334.249000217575,62,0
1,85817.77,7905.072475840027,127,1,85817.77,7905.072475840027,112,0
1,131826.78,11881.32051580219,321,1,131826.78,11881.32051580219,153,0
1,127187.15,7964.194247906547,329,1,127187.15,7964.194247906547,149,0
1,159815.08,10284.399667088586,389,1,159815.08,10284.399667088586,82,0
1,97267.06,6453.340843868685,230,1,97267.06,6453.340843868685,107,0
1,234108.73,15337.497607891124,374,1,234108.73,15337.497607891124,318,0
1,136646.12,10436.016150289399,135,1,136646.12,10436.016150289399,75,0
1,255387.05,17442.84533670208,304,1,255387.05,17442.84533670208,433,0
1,135976.14,10713.872085706857,159,1,135976.14,10713.872085706857,83,0
1,152429.64,8706.550951273264,457,1,152429.64,8706.550951273264,203,0
1,271265.88,18143.021985930816,434,1,271265.88,18143.021985930816,213,0
1,112092.984,9272.590579492702,343,1,112092.984,9272.590579492702,63,0
1,83823.51,7571.431889208776,189,1,83823.51,7571.431889208776,143,0
1,71717.41,6296.600020239418,155,1,71717.41,6296.600020239418,9,0
1,107548.28,5638.567868877136,70,1,107548.28,5638.567868877136,42,0
1,85309.83,6224.114641770226,53,1,85309.83,6224.114641770226,18,0
1,93151.78,7989.566811976572,121,1,93151.78,7989.566811976572,26,0
1,103022.305,6227.8624355987295,246,1,103022.305,6227.8624355987295,101,0
1,47733.926,3951.994134031601,50,1,47733.926,3951.994134031601,12,0
1,119187.49,7563.284958385384,154,1,119187.49,7563.284958385384,57,0
1,39759.688,3043.2538482863556,77,1,39759.688,3043.2538482863556,20,0
1,102211.914,8686.603706969938,80,1,102211.914,8686.603706969938,25,0
1,23329.135,2807.867367001125,44,1,23329.135,2807.867367001125,8,0
1,153912.36,13139.409782415532,307,1,153912.36,13139.409782415532,45,0
0,-1,-1,366,0,-1,-1,601,0
1,71913.91,5878.671406453541,147,1,71913.91,5878.671406453541,18,0
0,-1,-1,616,0,-1,-1,686,0
1,92483.99,5320.363210202952,136,1,92483.99,5320.363210202952,55,0
1,179502.95,14241.911285105723,275,1,179502.95,14241.911285105723,102,0
1,80370.18,4451.0997251219105,79,1,80370.18,4451.0997251219105,10,0
1,138487.72,9897.921680577421,229,1,138487.72,9897.921680577421,128,0
1,44821.902,3387.039547473193,24,1,44821.902,3387.039547473193,3,0
1,159294.66,12011.662090333262,430,1,159294.66,12011.662090333262,231,0
0,-1,-1,353,0,-1,-1,938,0
1,33924.324,3103.425120464597,71,1,33924.324,3103.425120464597,7,0
1,285649.84,18395.130737270552,358,1,285649.84,18395.130737270552,224,0
1,42587.83,3802.40202262483,65,1,42587.83,3802.40202262483,19,0
1,38978.31,2998.7250821080884,15,1,38978.31,2998.7250821080884,3,0
1,46915.79,3854.9013970707465,16,1,46915.79,3854.9013970707465,4,0
1,118947.97,9091.273328008096,292,1,118947.97,9091.273328008096,81,0
