feasibleBellman,lengthBellman,timeBellman,solvingTimeBellman,feasibleDijkstra,lengthDijkstra,timeDijkstra,solvingTimeDijkstra,feasibleAStar,lengthAStar,timeAStar,solvingTimeAStar
1,8643.501,1135.5561680540357,627,1,8643.501,1135.5561680540357,12,1,8643.501,1135.5561680540357,5
1,10089.305,1002.4912585066385,691,1,10089.305,1002.4912585066385,16,1,10089.305,1002.4912585066385,7
1,6874.517,918.4078577192853,446,1,6874.517,918.4078577192853,9,1,6874.517,918.4078577192853,4
1,8616.649,1188.5926707589626,414,1,8616.649,1188.5926707589626,13,1,8616.649,1188.5926707589626,4
1,1179.8463,203.07961949648163,471,1,1179.8463,203.07961949648163,0,1,1179.8463,203.07961949648163,0
1,5172.7676,866.020325969696,583,1,5172.7676,866.020325969696,1,1,5172.7676,866.020325969696,0
1,3679.698,321.33692883273534,393,1,3679.698,321.33692883273534,1,1,3679.698,321.33692883273534,0
1,7024.423,829.0979941696442,340,1,7024.423,829.0979941696442,14,1,7024.423,829.0979941696442,3
1,6034.6514,872.7135868549345,452,1,6034.6514,872.7135868549345,9,1,6034.6514,872.7135868549345,3
1,5896.453,466.54049164009086,481,1,5896.453,466.54049164009086,3,1,5896.453,466.54049164009086,1
1,7636.9224,1343.052076269967,343,1,7636.9224,1343.052076269967,10,1,7636.9224,1343.052076269967,6
1,6383.518,623.5021124458315,390,1,6383.518,623.5021124458315,9,1,6383.518,623.5021124458315,2
1,6040.4946,1010.5235656013488,362,1,6040.4946,1010.5235656013488,2,1,6040.4946,1010.5235656013488,0
1,6428.752,970.4591692551206,534,1,6428.752,970.4591692551206,4,1,6428.752,970.4591692551206,2
1,8142.111,605.2222257769448,792,1,8142.111,605.2222257769448,7,1,8142.111,605.2222257769448,5
1,9026.817,1456.8799550571443,417,1,9026.817,1456.8799550571443,13,1,9026.817,1456.8799550571443,5
