map,totalNodes,feasibleDijkstra,lengthDijkstra,timeDijkstra,solvingTimeDijkstra,feasibleAStar,lengthAStar,timeAStar,solvingTimeAStar,mode,arcs,valid
hg,157890,1,21511.914,2680.77590158326,56496804,1,21511.914,2680.77590158326,16356626,0,304,1
hg,157890,1,47993.09,3591.9077282232784,83610081,1,47993.09,3591.9077282232784,7655032,0,276,1
hg,157890,1,8885.898,756.1461462459565,5188080,1,8885.898,756.1461462459565,3346713,0,87,1
hg,157890,1,3089.2473,225.43468479919437,270005,1,3089.2473,225.43468479919437,72268,0,20,1
hg,157890,1,32791.68,2467.5025674657304,32919479,1,32791.68,2467.5025674657304,13169603,0,243,1
hg,157890,1,774.4164,72.48159355545043,239870,1,774.4164,72.48159355545043,76300,0,20,1
hg,157890,1,44460.28,3073.5468423984917,77869732,1,44460.28,3073.5468423984917,67592947,0,471,1
hg,157890,1,15897.738,2510.05671980095,32797861,1,15897.738,2510.05671980095,3132270,0,107,1
hg,157890,1,20131.379,1517.3859686287478,50447163,1,20131.379,1517.3859686287478,9451390,0,256,1
hg,157890,1,37933.85,1414.6147609077661,13090291,1,37933.85,1414.6147609077661,965362,0,126,1
hg,157890,1,49492.168,4274.521573767934,80310515,1,49492.168,4274.521573767934,26932297,0,298,1
hg,157890,1,33420.555,2888.9640870437634,25086957,1,33420.555,2888.9640870437634,16199253,0,311,1
hg,157890,1,104040.31,5199.832596590495,174840419,1,104040.31,5199.832596590495,115899444,0,596,1
hg,157890,1,21364.621,2014.1987983946128,45872733,1,21364.621,2014.1987983946128,2659966,0,146,1
hg,157890,1,19871.684,1902.633330598286,48626487,1,19871.684,1902.633330598286,37889399,0,313,1
hg,157890,1,16792.074,1372.0285735729549,31643615,1,16792.074,1372.0285735729549,11638890,0,205,1
hg,157890,1,29930.861,2647.53690809495,55579958,1,29930.861,2647.53690809495,20116305,0,312,1
hg,157890,1,81571.516,6490.577083163394,73876812,1,81571.516,6490.577083163394,93555247,0,501,1
hg,157890,1,32202.082,3548.620954739979,20815988,1,32202.082,3548.620954739979,8558130,0,235,1
hg,157890,1,7410.8926,990.7509308392669,15095626,1,7410.8926,990.7509308392669,4200543,0,182,1
hg,157890,1,29611.434,2464.9362836870446,41714205,1,29611.434,2464.9362836870446,18264008,0,472,1
hg,157890,1,36154.95,1945.2637765364673,43410194,1,36154.95,1945.2637765364673,12492875,0,195,1
hg,157890,1,47632.09,3759.106545744488,19697606,1,47632.09,3759.106545744488,7299033,0,384,1
hg,157890,1,2210.1912,386.2240415611266,571025,1,2210.1912,386.2240415611266,117525,0,22,1
hg,157890,1,33280.73,2208.130678837366,56659898,1,33280.73,2208.130678837366,3207676,0,235,1
hg,157890,1,6387.5356,548.4332960615156,14018293,1,6387.5356,548.4332960615156,2716962,0,135,1
hg,157890,1,34111.613,2306.786421911238,64268287,1,34111.613,2306.786421911238,5680947,0,183,1
hg,157890,1,28552.822,2366.326877970171,58091822,1,28552.822,2366.326877970171,46275027,0,370,1
hg,157890,1,45073.86,2554.795350316592,34180284,1,45073.86,2554.795350316592,3352093,0,250,1
hg,157890,1,80034.234,5408.268235362046,18829678,1,80034.234,5408.268235362046,7461636,0,310,1
hg,157890,1,6755.0664,979.751421562331,18947118,1,6755.0664,979.751421562331,4097219,0,168,1
hg,157890,1,57759.176,3296.003657101074,79099999,1,57759.176,3296.003657101074,66287429,0,318,1
hg,157890,1,35753.414,2524.2677867175507,65645385,1,35753.414,2524.2677867175507,34048650,0,338,1
hg,157890,1,47308.383,2140.745070549012,67836213,1,47308.383,2140.745070549012,3549741,0,168,1
hg,157890,1,20743.006,1890.9599446334832,28848309,1,20743.006,1890.9599446334832,5132417,0,163,1
hg,157890,1,10520.244,1907.8626261892318,16975801,1,10520.244,1907.8626261892318,4980723,0,194,1
hg,157890,1,43097.51,3233.4460124819666,39019248,1,43097.51,3233.4460124819666,18196026,0,334,1
hg,157890,1,17197.23,2293.1698058579514,32975441,1,17197.23,2293.1698058579514,13032712,0,298,1
hg,157890,1,18232.549,2202.082846902304,33125125,1,18232.549,2202.082846902304,6014885,0,205,1
hg,157890,1,20807.22,1594.2549505872614,42483061,1,20807.22,1594.2549505872614,4173852,0,114,1
hg,157890,1,36603.35,4269.8195773330435,63665993,1,36603.35,4269.8195773330435,33429514,0,402,1
hg,157890,1,23434.488,2006.1575563794543,13080974,1,23434.488,2006.1575563794543,2767492,0,179,1
hg,157890,1,4982.9863,468.0516707594735,3616571,1,4982.9863,468.0516707594735,2619711,0,90,1
hg,157890,1,68801.91,4850.049182606694,81509978,1,68801.91,4850.049182606694,49824938,0,415,1
hg,157890,1,52617.324,3937.926362790789,30785492,1,52617.324,3937.926362790789,7231300,0,347,1
hg,157890,1,20421.492,2253.6203813761313,38990729,1,20421.492,2253.6203813761313,22870694,0,433,1
hg,157890,0,-1,-1,64006,0,-1,-1,36643,0,0,1
hg,157890,1,12812.582,1095.250797703879,31533183,1,12812.582,1095.250797703879,2914454,0,147,1
hg,157890,1,87457.91,6162.881342379117,31238718,1,87457.91,6162.881342379117,18265516,0,487,1
hg,157890,1,29513.176,2409.6867633574366,56754663,1,29513.176,2409.6867633574366,14933625,0,206,1
hg,157890,1,13455.473,1792.6215412292477,13969029,1,13455.473,1792.6215412292477,1876920,0,150,1
hg,157890,1,6364.7393,478.3305836775641,11089195,1,6364.7393,478.3305836775641,581273,0,146,1
hg,157890,1,16258.432,1628.629843764169,14589712,1,16258.432,1628.629843764169,3916271,0,210,1
hg,157890,1,8467.132,898.2265321931839,9833085,1,8467.132,898.2265321931839,2493069,0,213,1
hg,157890,1,25254.223,1712.2417105135103,51465796,1,25254.223,1712.2417105135103,33113388,0,224,1
hg,157890,1,22069.867,1939.8948210803444,48447638,1,22069.867,1939.8948210803444,18553482,0,240,1
hg,157890,1,29734.117,2642.4114907407757,57847095,1,29734.117,2642.4114907407757,8864219,0,224,1
hg,157890,1,25681.98,2190.0448571477614,33426028,1,25681.98,2190.0448571477614,12089010,0,240,1
hg,157890,1,29351.443,4069.787424436024,53431706,1,29351.443,4069.787424436024,21968338,0,422,1
hg,157890,1,38286.953,2543.028563486687,65597378,1,38286.953,2543.028563486687,20134690,0,168,1
hg,157890,1,30023.42,3757.839533159663,44644728,1,30023.42,3757.839533159663,25753990,0,434,1
hg,157890,1,44707.8,3830.7595429513103,13343182,1,44707.8,3830.7595429513103,3105184,0,189,1
hg,157890,1,102814.52,8098.216406171259,59878850,1,102814.52,8098.216406171259,20191156,0,510,1
hg,157890,1,13893.618,2252.726837659018,22013861,1,13893.618,2252.726837659018,3660868,0,171,1
hg,157890,1,77293.625,4373.130871914104,19315381,1,77293.625,4373.130871914104,11562279,0,391,1
hg,157890,1,119818.2,5875.735850143867,17048000,1,119818.2,5875.735850143867,19712966,0,459,1
hg,157890,1,5327.455,434.964757396153,3747368,1,5327.455,434.964757396153,915370,0,124,1
hg,157890,1,130402.766,10483.452843101228,79232754,1,130402.766,10483.452843101228,94529019,0,668,1
hg,157890,1,11418.093,1235.0627557571956,21423348,1,11418.093,1235.0627557571956,3572917,0,114,1
hg,157890,1,54056.336,3952.8793347677506,76799885,1,54056.336,3952.8793347677506,38026330,0,427,1
hg,157890,1,137433.02,8793.953409257947,77963307,1,137433.02,8793.953409257947,106700454,0,658,1
hg,157890,1,12185.441,704.7974973634991,27644142,1,12185.441,704.7974973634991,5467290,0,108,1
hg,157890,1,9145.05,658.7049890804294,30593580,1,9145.05,658.7049890804294,3646844,0,91,1
hg,157890,1,76718.15,3204.8561121130083,85555377,1,76718.15,3204.8561121130083,13086648,0,260,1
hg,157890,1,88209.73,6230.5088673763885,78715513,1,88209.73,6230.5088673763885,34120211,0,460,1
hg,157890,1,21294.904,1565.169805019106,15320745,1,21294.904,1565.169805019106,3158222,0,189,1
hg,157890,1,35996.13,3152.2049784124865,54447634,1,35996.13,3152.2049784124865,19439100,0,599,1
hg,157890,1,13929.318,1231.5212025641029,21321626,1,13929.318,1231.5212025641029,1965408,0,205,1
hg,157890,1,41261.453,3115.087106048378,68742828,1,41261.453,3115.087106048378,30287555,0,430,1
hg,157890,1,6368.983,468.8512751279557,1101104,1,6368.983,468.8512751279557,370398,0,78,1
hg,157890,1,14510.287,1769.9608132577616,15086032,1,14510.287,1769.9608132577616,5840086,0,239,1
hg,157890,1,65288.12,4129.67027813055,92657949,1,65288.12,4129.67027813055,10645307,0,302,1
hg,157890,1,39522.176,3728.92605548123,63818679,1,39522.176,3728.92605548123,30085085,0,469,1
hg,157890,1,31779.084,2014.375366729464,46808524,1,31779.084,2014.375366729464,2967871,0,257,1
hg,157890,1,107805.52,8165.209450234827,79579355,1,107805.52,8165.209450234827,119874818,0,774,1
hg,157890,1,24477.773,2061.53947931242,21330172,1,24477.773,2061.53947931242,9399643,0,238,1
hg,157890,1,13854.569,1586.4597758977068,36707776,1,13854.569,1586.4597758977068,7149234,0,144,1
hg,157890,1,48978.06,4795.404977663583,70335776,1,48978.06,4795.404977663583,59872850,0,578,1
hg,157890,1,141637.06,8410.00216929371,81207656,1,141637.06,8410.00216929371,136697004,0,789,1
hg,157890,1,37069.574,3120.3000097525446,5402831,1,37069.574,3120.3000097525446,2072030,0,105,1
hg,157890,1,5859.949,781.912067218508,5488225,1,5859.949,781.912067218508,2557540,0,93,1
hg,157890,1,40425.996,3257.8439217611044,52809507,1,40425.996,3257.8439217611044,30275947,0,606,1
hg,157890,1,106831.67,7565.304658587817,82172459,1,106831.67,7565.304658587817,106364623,0,515,1
hg,157890,1,37708.223,2628.560493062552,68796940,1,37708.223,2628.560493062552,41922751,0,383,1
hg,157890,1,14931.58,1097.9467725608015,7714861,1,14931.58,1097.9467725608015,5306661,0,165,1
hg,157890,1,14299.48,1289.4935628465926,23123685,1,14299.48,1289.4935628465926,4090220,0,150,1
hg,157890,1,16241.293,1392.6645852279669,46952308,1,16241.293,1392.6645852279669,12574446,0,185,1
hg,157890,1,30010.879,3003.3037381796144,62963848,1,30010.879,3003.3037381796144,31982351,0,367,1
hg,157890,1,19426.691,1082.345117759117,31157825,1,19426.691,1082.345117759117,1892648,0,125,1
hg,157890,1,10427.525,1338.9129645889823,32443552,1,10427.525,1338.9129645889823,9055747,0,213,1
hg,157890,1,41258.707,3181.74934019959,44007345,1,41258.707,3181.74934019959,31880682,0,321,1
