map,totalNodes,feasibleBellman,lengthBellman,timeBellman,solvingTimeBellman,feasibleDijkstra,lengthDijkstra,timeDijkstra,solvingTimeDijkstra,feasibleAStar,lengthAStar,timeAStar,solvingTimeAStar,mode,arcs,valid
insa,1349,1,1345.3986,329.0389895617962,9544917,1,1345.3986,329.0389895617962,276625,1,1345.3986,329.0389895617962,210187,0,34,1
insa,1349,1,1251.8344,111.06584612274172,9724634,1,1251.8344,111.06584612274172,403084,1,1251.8344,111.06584612274172,268595,0,23,1
insa,1349,1,860.6495,83.55547547149659,15921427,1,860.6495,83.55547547149659,383442,1,860.6495,83.55547547149659,175899,0,17,1
insa,1349,1,1382.2477,99.52183281040192,8765550,1,1382.2477,99.52183281040192,514067,1,1382.2477,99.52183281040192,55478,0,16,1
insa,1349,1,1492.7056,440.69799367904665,9180916,1,1492.7056,440.69799367904665,591371,1,1492.7056,440.69799367904665,452437,0,47,1
insa,1349,1,1042.885,397.247969455719,4796318,1,1042.885,397.247969455719,347398,1,1042.885,397.247969455719,165919,0,29,1
insa,1349,1,1460.0166,412.67017859458923,10057177,1,1460.0166,412.67017859458923,439482,1,1460.0166,412.67017859458923,305189,0,34,1
insa,1349,0,-1,-1,5876308,0,-1,-1,543596,0,-1,-1,1154134,0,0,1
insa,1349,1,1390.2202,367.9603327560425,6264759,1,1390.2202,367.9603327560425,346454,1,1390.2202,367.9603327560425,211707,0,30,1
insa,1349,1,423.42975,52.413477762222286,7660932,1,423.42975,52.413477762222286,116183,1,423.42975,52.413477762222286,64718,0,7,1
insa,1349,0,-1,-1,11140438,0,-1,-1,534266,0,-1,-1,1306376,0,0,1
insa,1349,1,909.36,108.38754404067993,7275378,1,909.36,108.38754404067993,79863,1,909.36,108.38754404067993,53398,0,21,1
insa,1349,0,-1,-1,3614263,0,-1,-1,397211,0,-1,-1,865358,0,0,1
insa,1349,1,902.29517,83.86156738471985,2121537,1,902.29517,83.86156738471985,207474,1,902.29517,83.86156738471985,225444,0,27,1
insa,1349,0,-1,-1,4170511,0,-1,-1,409610,0,-1,-1,844861,0,0,1
insa,1349,1,1742.1481,434.0455703716278,1922877,1,1742.1481,434.0455703716278,330398,1,1742.1481,434.0455703716278,334607,0,38,1
insa,1349,1,1692.6112,178.6606778268814,2775029,1,1692.6112,178.6606778268814,236355,1,1692.6112,178.6606778268814,182521,0,40,1
insa,1349,0,-1,-1,2087138,0,-1,-1,389349,0,-1,-1,922763,0,0,1
insa,1349,1,1409.4357,537.7498978614807,4055795,1,1409.4357,537.7498978614807,430175,1,1409.4357,537.7498978614807,64374,0,10,1
insa,1349,1,1528.7756,161.6556451005936,3025382,1,1528.7756,161.6556451005936,142700,1,1528.7756,161.6556451005936,162515,0,35,1
insa,1349,0,-1,-1,439121,0,-1,-1,2143,0,-1,-1,2503,0,0,1
insa,1349,1,811.1089,90.19698364734649,2560776,1,811.1089,90.19698364734649,126614,1,811.1089,90.19698364734649,56083,0,23,1
insa,1349,0,-1,-1,733641,0,-1,-1,3183,0,-1,-1,4990,0,0,1
