map,totalNodes,feasibleBellman,lengthBellman,timeBellman,solvingTimeBellman,feasibleDijkstra,lengthDijkstra,timeDijkstra,solvingTimeDijkstra,feasibleAStar,lengthAStar,timeAStar,solvingTimeAStar,mode,arcs,valid
toulouse,39858,1,6075.7734,490.26183227266586,490783652,1,6075.7734,490.26183227266586,8075444,1,6075.7734,490.26183227266586,1300110,0,86,1
toulouse,39858,1,7227.4795,882.0162380676267,513559812,1,7227.4795,882.0162380676267,9050241,1,7227.4795,882.0162380676267,3598203,0,131,1
toulouse,39858,1,7526.6777,1264.2274372128084,631007615,1,7526.6777,1264.2274372128084,6349389,1,7526.6777,1264.2274372128084,2892100,0,107,1
toulouse,39858,1,10330.724,1399.252731727872,602948608,1,10330.724,1399.252731727872,5821381,1,10330.724,1399.252731727872,3847157,0,224,1
toulouse,39858,1,3123.1729,332.61532681846626,341852841,1,3123.1729,332.61532681846626,2218204,1,3123.1729,332.61532681846626,591027,0,39,1
toulouse,39858,0,-1,-1,6124595,0,-1,-1,10923,0,-1,-1,11863,0,0,1
toulouse,39858,1,3647.2256,629.5298027646201,471436027,1,3647.2256,629.5298027646201,2493667,1,3647.2256,629.5298027646201,538294,0,92,1
toulouse,39858,1,10807.2295,1452.8088882097509,453373946,1,10807.2295,1452.8088882097509,10325588,1,10807.2295,1452.8088882097509,5632620,0,195,1
toulouse,39858,1,6669.6484,835.2371669254304,481183368,1,6669.6484,835.2371669254304,7814589,1,6669.6484,835.2371669254304,3086591,0,86,1
toulouse,39858,1,6225.2837,1252.1633045768742,375934459,1,6225.2837,1252.1633045768742,5475481,1,6225.2837,1252.1633045768742,1712171,0,101,1
toulouse,39858,1,9478.885,1027.873877025604,501488702,1,9478.885,1027.873877025604,4550817,1,9478.885,1027.873877025604,1028677,0,76,1
toulouse,39858,1,7563.229,1212.4159280661174,454786140,1,7563.229,1212.4159280661174,9510989,1,7563.229,1212.4159280661174,4523045,0,176,1
toulouse,39858,1,10244.145,1405.561254154887,363816404,1,10244.145,1405.561254154887,14461555,1,10244.145,1405.561254154887,7030016,0,237,1
toulouse,39858,1,2968.4268,381.29493050479897,450626413,1,2968.4268,381.29493050479897,1032591,1,2968.4268,381.29493050479897,552460,0,59,1
toulouse,39858,1,4959.8936,640.1322942695617,523248131,1,4959.8936,640.1322942695617,2289629,1,4959.8936,640.1322942695617,1113613,0,79,1
toulouse,39858,1,8746.365,1857.5533935450126,506256133,1,8746.365,1857.5533935450126,10382627,1,8746.365,1857.5533935450126,4529482,0,204,1
toulouse,39858,0,-1,-1,334617246,0,-1,-1,15652054,0,-1,-1,30389725,0,0,1
toulouse,39858,1,3435.1238,707.7749848194123,416155520,1,3435.1238,707.7749848194123,1759556,1,3435.1238,707.7749848194123,607400,0,80,1
toulouse,39858,1,7065.092,1094.2770314808106,475371587,1,7065.092,1094.2770314808106,3358617,1,7065.092,1094.2770314808106,1809875,0,107,1
toulouse,39858,1,11337.714,990.436121634892,635357246,1,11337.714,990.436121634892,8534094,1,11337.714,990.436121634892,5766629,0,187,1
toulouse,39858,1,6648.0117,826.2448218713486,523565583,1,6648.0117,826.2448218713486,3426676,1,6648.0117,826.2448218713486,2184780,0,120,1
toulouse,39858,0,-1,-1,427191564,0,-1,-1,17204878,0,-1,-1,30024879,0,0,1
toulouse,39858,1,11173.214,1561.812259701069,542628399,1,11173.214,1561.812259701069,11737854,1,11173.214,1561.812259701069,6108614,0,155,1
toulouse,39858,1,9451.082,1224.0081904077529,385322871,1,9451.082,1224.0081904077529,18328990,1,9451.082,1224.0081904077529,9410849,0,225,1
toulouse,39858,1,7406.228,618.1732077484131,373157516,1,7406.228,618.1732077484131,14075037,1,7406.228,618.1732077484131,3577883,0,187,1
toulouse,39858,1,10116.821,1631.2847744738724,416774010,1,10116.821,1631.2847744738724,14459900,1,10116.821,1631.2847744738724,5380949,0,226,1
toulouse,39858,1,7382.783,1128.4055101327885,396270870,1,7382.783,1128.4055101327885,11001609,1,7382.783,1128.4055101327885,3983441,0,185,1
toulouse,39858,1,5693.294,605.8907107772828,499138452,1,5693.294,605.8907107772828,3937805,1,5693.294,605.8907107772828,2403731,0,109,1
toulouse,39858,1,4835.1465,394.07351685333253,373872557,1,4835.1465,394.07351685333253,6675721,1,4835.1465,394.07351685333253,2250960,0,95,1
toulouse,39858,1,6398.4575,618.6697945833207,442853539,1,6398.4575,618.6697945833207,2800984,1,6398.4575,618.6697945833207,509150,0,111,1
toulouse,39858,1,7649.6562,853.1820935551785,465086974,1,7649.6562,853.1820935551785,6143572,1,7649.6562,853.1820935551785,2701350,0,203,1
toulouse,39858,1,1494.887,170.25120603561402,325610491,1,1494.887,170.25120603561402,415342,1,1494.887,170.25120603561402,168696,0,37,1
toulouse,39858,1,2009.835,363.6126064825057,639792350,1,2009.835,363.6126064825057,411775,1,2009.835,363.6126064825057,402332,0,72,1
toulouse,39858,1,8560.987,1104.731008021218,635011181,1,8560.987,1104.731008021218,5825718,1,8560.987,1104.731008021218,2608232,0,146,1
toulouse,39858,1,7077.572,768.1781019458771,469698547,1,7077.572,768.1781019458771,4497653,1,7077.572,768.1781019458771,2459303,0,124,1
toulouse,39858,0,-1,-1,44732424,0,-1,-1,31737,0,-1,-1,65090,0,0,1
toulouse,39858,1,10587.418,1204.0897753997535,465183063,1,10587.418,1204.0897753997535,11399744,1,10587.418,1204.0897753997535,7561956,0,216,1
toulouse,39858,1,4872.955,692.7981110683171,457929856,1,4872.955,692.7981110683171,3524082,1,4872.955,692.7981110683171,1673371,0,132,1
toulouse,39858,0,-1,-1,5778720,0,-1,-1,12592,0,-1,-1,13668,0,0,1
toulouse,39858,1,3154.7231,545.8176448259355,336380415,1,3154.7231,545.8176448259355,2578974,1,3154.7231,545.8176448259355,812295,0,96,1
toulouse,39858,1,6256.8486,949.1801025838854,417551735,1,6256.8486,949.1801025838854,6902678,1,6256.8486,949.1801025838854,1898038,0,143,1
toulouse,39858,1,12136.554,734.7079235992433,524203970,1,12136.554,734.7079235992433,9019841,1,12136.554,734.7079235992433,6114650,0,88,1
toulouse,39858,1,4710.5894,720.4267173246653,508061265,1,4710.5894,720.4267173246653,6099249,1,4710.5894,720.4267173246653,2567770,0,101,1
toulouse,39858,1,11026.941,1231.5487327194207,332460773,1,11026.941,1231.5487327194207,15430630,1,11026.941,1231.5487327194207,4121146,0,221,1
toulouse,39858,1,2226.5332,168.03860156576977,497056275,1,2226.5332,168.03860156576977,483968,1,2226.5332,168.03860156576977,156029,0,50,1
toulouse,39858,1,11949.517,1336.6235862072542,522330059,1,11949.517,1336.6235862072542,11067696,1,11949.517,1336.6235862072542,7654790,0,298,1
toulouse,39858,1,2588.4019,767.1972001075745,474434477,1,2588.4019,767.1972001075745,1418701,1,2588.4019,767.1972001075745,476953,0,57,1
toulouse,39858,1,5422.9595,465.963204288074,520789711,1,5422.9595,465.963204288074,2006688,1,5422.9595,465.963204288074,970636,0,83,1
toulouse,39858,0,-1,-1,439230599,0,-1,-1,15865489,0,-1,-1,29943023,0,0,1
toulouse,39858,0,-1,-1,44205909,0,-1,-1,32517,0,-1,-1,63409,0,0,1
