map,totalNodes,feasibleDijkstra,lengthDijkstra,timeDijkstra,solvingTimeDijkstra,feasibleAStar,lengthAStar,timeAStar,solvingTimeAStar,mode,arcs,valid
toulouse,39858,1,9574.514,1568.5638720932016,15416140,1,9574.514,1568.5638720932016,6857123,0,100,1
toulouse,39858,0,-1,-1,39316,0,-1,-1,30121,0,0,1
toulouse,39858,1,6328.8813,1295.6134749420698,12101580,1,6328.8813,1295.6134749420698,3387480,0,163,1
toulouse,39858,1,3481.1343,249.24220684814446,2421155,1,3481.1343,249.24220684814446,928948,0,47,1
toulouse,39858,1,9722.431,1214.569871409416,21875730,1,9722.431,1214.569871409416,6567900,0,251,1
toulouse,39858,1,5133.022,442.75367203330995,9330706,1,5133.022,442.75367203330995,2396575,0,101,1
toulouse,39858,1,7864.478,933.7309019336705,13499912,1,7864.478,933.7309019336705,5426398,0,163,1
toulouse,39858,1,4284.7593,421.49047376632694,5445049,1,4284.7593,421.49047376632694,1281747,0,67,1
toulouse,39858,1,6109.2285,554.0526264410017,10841588,1,6109.2285,554.0526264410017,2377732,0,114,1
toulouse,39858,1,9147.883,1132.295265841484,23125473,1,9147.883,1132.295265841484,9332195,0,238,1
toulouse,39858,1,10421.901,1716.036685565403,17240747,1,10421.901,1716.036685565403,5848052,0,201,1
toulouse,39858,0,-1,-1,16358,0,-1,-1,7702,0,0,1
toulouse,39858,1,8504.411,1439.3140527820588,8769165,1,8504.411,1439.3140527820588,4103051,0,132,1
toulouse,39858,1,5842.124,1042.2307198350097,11647059,1,5842.124,1042.2307198350097,3230746,0,131,1
toulouse,39858,1,5995.556,676.0502663040163,9003616,1,5995.556,676.0502663040163,3207794,0,116,1
toulouse,39858,1,7939.2427,949.9991449579169,16262537,1,7939.2427,949.9991449579169,2624782,0,174,1
toulouse,39858,1,5806.224,993.9042845600675,10059926,1,5806.224,993.9042845600675,3661445,0,141,1
toulouse,39858,1,3045.3145,353.5374508037566,1036151,1,3045.3145,353.5374508037566,717548,0,86,1
toulouse,39858,0,-1,-1,20552202,0,-1,-1,33082702,0,0,1
toulouse,39858,1,4645.4087,498.1966477756501,3037786,1,4645.4087,498.1966477756501,1584978,0,103,1
toulouse,39858,1,4681.59,769.5201243847439,8705866,1,4681.59,769.5201243847439,1717012,0,99,1
toulouse,39858,1,1635.492,342.4762669219971,668725,1,1635.492,342.4762669219971,269869,0,40,1
toulouse,39858,0,-1,-1,18435245,0,-1,-1,31195990,0,0,1
toulouse,39858,1,13803.758,674.9587574379261,13274742,1,13803.758,674.9587574379261,8527738,0,85,1
toulouse,39858,1,3566.3284,579.3128225154878,2812505,1,3566.3284,579.3128225154878,1150013,0,83,1
toulouse,39858,0,-1,-1,18735236,0,-1,-1,33585421,0,0,1
toulouse,39858,1,8061.5044,1185.280729090691,10824121,1,8061.5044,1185.280729090691,3936687,0,143,1
toulouse,39858,1,6717.7666,537.6070125350955,7667539,1,6717.7666,537.6070125350955,3355018,0,150,1
toulouse,39858,1,5645.9355,503.25579500620705,10307679,1,5645.9355,503.25579500620705,1244766,0,108,1
toulouse,39858,0,-1,-1,55555,0,-1,-1,75476,0,0,1
toulouse,39858,1,13332.723,2251.7289026944295,17434470,1,13332.723,2251.7289026944295,13395702,0,226,1
toulouse,39858,1,6727.6514,876.1309060649869,8365206,1,6727.6514,876.1309060649869,5283476,0,167,1
toulouse,39858,1,6284.96,592.3980285448348,10575404,1,6284.96,592.3980285448348,2079166,0,112,1
toulouse,39858,0,-1,-1,94895,0,-1,-1,58553,0,0,1
toulouse,39858,1,7645.306,1074.3974189496719,6504560,1,7645.306,1074.3974189496719,2490613,0,109,1
toulouse,39858,1,4522.8647,823.1718188332147,7391193,1,4522.8647,823.1718188332147,2481473,0,113,1
toulouse,39858,1,13832.799,1467.4512415598795,18403290,1,13832.799,1467.4512415598795,10557137,0,240,1
toulouse,39858,1,2405.7324,677.9065497894287,1907678,1,2405.7324,677.9065497894287,530548,0,47,1
toulouse,39858,0,-1,-1,23759609,0,-1,-1,44410236,0,0,1
toulouse,39858,1,8334.921,816.7927857540885,15803491,1,8334.921,816.7927857540885,3178259,0,125,1
toulouse,39858,1,7072.938,615.043583215986,2336092,1,7072.938,615.043583215986,578732,0,151,1
toulouse,39858,1,9612.066,1440.3904960982463,20295828,1,9612.066,1440.3904960982463,7155788,0,226,1
toulouse,39858,1,6477.2534,676.3637674593247,13198286,1,6477.2534,676.3637674593247,2356201,0,98,1
toulouse,39858,1,11911.982,1109.325775698253,19888275,1,11911.982,1109.325775698253,11702323,0,255,1
